,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-03-26 18:00,2022-03-26 19:00,,50.0,38.0,OV,120.0,13.0,,,,,,,,,,6,7,N ,1.0,1.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,6.0,N,7,1.0,N,2.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-26T18:00:00.000Z,2022-03-26T19:00:00.000Z
1,1,LAV,2022-03-26 18:00,2022-03-26 20:00,,50.0,37.0,OV,130.0,12.0,,,,,,,,,,6,7,N ,0.0,4.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,10.0,N,7,1.0,N,5.0,N,,,,,,,,,,,,,,,,,,17,N,,,2022-03-26T18:00:00.000Z,2022-03-26T20:00:00.000Z
2,2,LAV,2022-03-26 18:00,2022-03-26 21:00,,49.0,36.0,OV,160.0,10.0,,,,,,,,,,6,7,N ,1.0,8.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,27.0,N,7,1.0,N,6.0,N,,,,,,,,,,,,,,,,,,26,N,,,2022-03-26T18:00:00.000Z,2022-03-26T21:00:00.000Z
3,3,LAV,2022-03-26 18:00,2022-03-26 22:00,,48.0,36.0,OV,180.0,10.0,,,,,,,,,,6,5,N ,0.0,8.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,31.0,N,3,1.0,N,14.0,L,,,,,,,,,,,,,,,,,,63,Y,,,2022-03-26T18:00:00.000Z,2022-03-26T22:00:00.000Z
4,4,LAV,2022-03-26 18:00,2022-03-26 23:00,,46.0,36.0,OV,230.0,9.0,,,,,,,,,,5,6,N ,0.0,8.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,38.0,N,5,0.0,N,20.0,L,,,,,,,,,,,,,,,,,,66,Y,,,2022-03-26T18:00:00.000Z,2022-03-26T23:00:00.000Z
5,5,LAV,2022-03-26 18:00,2022-03-27 00:00,,46.0,36.0,OV,230.0,7.0,89.0,,,,,,,,,5,7,N ,0.0,9.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,40.0,N,7,1.0,N,17.0,L,,,,,,,,,,,,,,,,,,56,Y,,,2022-03-26T18:00:00.000Z,2022-03-27T00:00:00.000Z
6,6,LAV,2022-03-26 18:00,2022-03-27 01:00,,45.0,36.0,OV,260.0,7.0,,,,,,,,,,5,7,N ,0.0,11.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,40.0,N,7,1.0,N,12.0,N,,,,,,,,,,,,,,,,,,43,Y,,,2022-03-26T18:00:00.000Z,2022-03-27T01:00:00.000Z
7,7,LAV,2022-03-26 18:00,2022-03-27 02:00,,45.0,36.0,OV,260.0,7.0,,,,,,,,,,5,7,N ,0.0,15.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,43.0,N,7,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,30,N,,,2022-03-26T18:00:00.000Z,2022-03-27T02:00:00.000Z
8,8,LAV,2022-03-26 18:00,2022-03-27 03:00,,45.0,36.0,OV,280.0,7.0,,,,,,,,,,6,7,N ,1.0,19.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,44.0,Y,6,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,22,N,,,2022-03-26T18:00:00.000Z,2022-03-27T03:00:00.000Z
9,9,LAV,2022-03-26 18:00,2022-03-27 04:00,,44.0,36.0,OV,270.0,7.0,,,,,,,,,,6,7,N ,1.0,18.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,46.0,Y,7,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,19,N,,,2022-03-26T18:00:00.000Z,2022-03-27T04:00:00.000Z
