,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-02-05 06:00,2022-02-05 07:00,,22.0,18.0,OV,340.0,9.0,,,,,,,,,,4,5,BR,1.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,4,78.0,Y,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,80,Y,,,2022-02-05T06:00:00.000Z,2022-02-05T07:00:00.000Z
1,1,LAV,2022-02-05 06:00,2022-02-05 08:00,,22.0,17.0,OV,340.0,8.0,,,,,,,,,,4,5,N ,2.0,98.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,4,37.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,30,N,,,2022-02-05T06:00:00.000Z,2022-02-05T08:00:00.000Z
2,2,LAV,2022-02-05 06:00,2022-02-05 09:00,,21.0,16.0,OV,340.0,8.0,,,,,,,,,,5,7,BR,3.0,97.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,27.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,6,N,,,2022-02-05T06:00:00.000Z,2022-02-05T09:00:00.000Z
3,3,LAV,2022-02-05 06:00,2022-02-05 10:00,,20.0,14.0,OV,330.0,8.0,,,,,,,,,,5,7,HZ,2.0,98.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,23.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-02-05T06:00:00.000Z,2022-02-05T10:00:00.000Z
4,4,LAV,2022-02-05 06:00,2022-02-05 11:00,,20.0,12.0,OV,320.0,9.0,,,,,,,,,,5,7,N ,2.0,98.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,15.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-02-05T06:00:00.000Z,2022-02-05T11:00:00.000Z
5,5,LAV,2022-02-05 06:00,2022-02-05 12:00,,19.0,10.0,OV,320.0,9.0,98.0,,,,,,,,,6,7,N ,1.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,11.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-02-05T06:00:00.000Z,2022-02-05T12:00:00.000Z
6,6,LAV,2022-02-05 06:00,2022-02-05 13:00,,18.0,9.0,OV,320.0,10.0,,,,,,,,,,6,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,15.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-05T13:00:00.000Z
7,7,LAV,2022-02-05 06:00,2022-02-05 14:00,,19.0,8.0,OV,320.0,11.0,,,,,,,,,,6,7,N ,1.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,10.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-02-05T06:00:00.000Z,2022-02-05T14:00:00.000Z
8,8,LAV,2022-02-05 06:00,2022-02-05 15:00,,20.0,7.0,OV,310.0,12.0,,,,,,,,,,6,7,N ,1.0,98.0,S ,,19.0,,,,,,,,,,,KBOS,,,,,,,,,,6,12.0,N,6,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-02-05T06:00:00.000Z,2022-02-05T15:00:00.000Z
9,9,LAV,2022-02-05 06:00,2022-02-05 16:00,,22.0,6.0,OV,310.0,13.0,,,,,,,,,,6,7,N ,1.0,98.0,S ,,20.0,,,,,,,,,,,KBOS,,,,,,,,,,6,5.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-02-05T06:00:00.000Z,2022-02-05T16:00:00.000Z
10,10,LAV,2022-02-05 06:00,2022-02-05 17:00,,24.0,5.0,BK,310.0,13.0,,,,,,,,,,7,7,N ,2.0,98.0,S ,,21.0,,,,,,,,,,,KBOS,,,,,,,,,,6,4.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-02-05T06:00:00.000Z,2022-02-05T17:00:00.000Z
11,11,LAV,2022-02-05 06:00,2022-02-05 18:00,,25.0,5.0,BK,310.0,13.0,1.0,,,,,,,,,8,7,N ,2.0,98.0,S ,,21.0,,,,,,,,,,,KBOS,,,,,,,,,,7,3.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-05T18:00:00.000Z
12,12,LAV,2022-02-05 06:00,2022-02-05 19:00,,25.0,2.0,SC,310.0,14.0,,,,,,,,,,8,7,N ,2.0,98.0,S ,,22.0,,,,,,,,,,,KBOS,,,,,,,,,,7,2.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-05T19:00:00.000Z
13,13,LAV,2022-02-05 06:00,2022-02-05 20:00,,25.0,1.0,FW,310.0,15.0,,,,,,,,,,8,7,N ,2.0,98.0,S ,,23.0,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-05T20:00:00.000Z
14,14,LAV,2022-02-05 06:00,2022-02-05 21:00,,25.0,-1.0,FW,310.0,15.0,,,,,,,,,,8,7,N ,1.0,99.0,S ,,23.0,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-05T21:00:00.000Z
15,15,LAV,2022-02-05 06:00,2022-02-05 22:00,,23.0,-2.0,CL,310.0,14.0,,,,,,,,,,8,7,N ,1.0,99.0,S ,,22.0,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-05T22:00:00.000Z
16,16,LAV,2022-02-05 06:00,2022-02-05 23:00,,22.0,-2.0,CL,310.0,13.0,,,,,,,,,,8,7,N ,1.0,100.0,S ,,20.0,,,,,,,,,,,KBOS,,,,,,,,,,6,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-05T23:00:00.000Z
17,17,LAV,2022-02-05 06:00,2022-02-06 00:00,,20.0,-2.0,CL,310.0,12.0,0.0,,,,,,,,,8,7,N ,0.0,100.0,S ,,19.0,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-06T00:00:00.000Z
18,18,LAV,2022-02-05 06:00,2022-02-06 01:00,,19.0,-3.0,CL,310.0,11.0,,,,,,,,,,8,7,N ,0.0,100.0,S ,,18.0,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-06T01:00:00.000Z
19,19,LAV,2022-02-05 06:00,2022-02-06 02:00,,18.0,-4.0,CL,320.0,11.0,,,,,,,,,,8,7,N ,1.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-06T02:00:00.000Z
20,20,LAV,2022-02-05 06:00,2022-02-06 03:00,,17.0,-4.0,CL,320.0,10.0,,,,,,,,,,8,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-06T03:00:00.000Z
21,21,LAV,2022-02-05 06:00,2022-02-06 04:00,,16.0,-5.0,CL,320.0,9.0,,,,,,,,,,8,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-06T04:00:00.000Z
22,22,LAV,2022-02-05 06:00,2022-02-06 05:00,,14.0,-5.0,CL,320.0,8.0,,,,,,,,,,8,7,N ,1.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-05T06:00:00.000Z,2022-02-06T05:00:00.000Z
