,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-01-04 00:00,2021-01-04 01:00,,34.0,31.0,OV,360.0,9.0,,,,,,,,,,4,6,N ,0.0,89.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,4.0,80.0,Y,5.0,0.0,N,8.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T01:00:00.000Z
1,1,LAV,2021-01-04 00:00,2021-01-04 02:00,,34.0,31.0,OV,10.0,9.0,,,,,,,,,,4,6,N ,0.0,86.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,71.0,Y,5.0,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T02:00:00.000Z
2,2,LAV,2021-01-04 00:00,2021-01-04 03:00,,34.0,31.0,OV,20.0,9.0,,,,,,,,,,4,5,BR,0.0,86.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,67.0,Y,4.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T03:00:00.000Z
3,3,LAV,2021-01-04 00:00,2021-01-04 04:00,,34.0,31.0,OV,30.0,9.0,,,,,,,,,,3,5,BR,0.0,84.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2.0,64.0,Y,4.0,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T04:00:00.000Z
4,4,LAV,2021-01-04 00:00,2021-01-04 05:00,,34.0,31.0,OV,30.0,9.0,,,,,,,,,,3,5,BR,0.0,85.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2.0,63.0,Y,4.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T05:00:00.000Z
5,5,LAV,2021-01-04 00:00,2021-01-04 06:00,,34.0,30.0,OV,20.0,8.0,68.0,,,,,,,,,3,5,BR,1.0,84.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,60.0,Y,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T06:00:00.000Z
6,6,LAV,2021-01-04 00:00,2021-01-04 07:00,,33.0,30.0,OV,20.0,9.0,,,,,,,,,,3,5,BR,0.0,86.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,62.0,Y,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T07:00:00.000Z
7,7,LAV,2021-01-04 00:00,2021-01-04 08:00,,33.0,30.0,OV,20.0,10.0,,,,,,,,,,3,5,BR,0.0,87.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,63.0,Y,4.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T08:00:00.000Z
8,8,LAV,2021-01-04 00:00,2021-01-04 09:00,,33.0,30.0,OV,20.0,11.0,,,,,,,,,,3,5,BR,0.0,89.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2.0,60.0,Y,4.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T09:00:00.000Z
9,9,LAV,2021-01-04 00:00,2021-01-04 10:00,,33.0,29.0,OV,10.0,10.0,,,,,,,,,,3,6,BR,0.0,85.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2.0,52.0,Y,4.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-04T00:00:00.000Z,2021-01-04T10:00:00.000Z
