,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-03-24 06:00,2022-03-24 07:00,,40.0,32.0,OV,110.0,11.0,,,,,,,,,,6,7,N ,1.0,6.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,81.0,Y,7,1.0,N,13.0,L,,,,,,,,,,,,,,,,,,63,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T07:00:00.000Z
1,1,LAV,2022-03-24 06:00,2022-03-24 08:00,,40.0,33.0,OV,110.0,12.0,,,,,,,,,,6,7,N ,0.0,11.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,79.0,Y,6,1.0,N,32.0,M,,,,,,,,,,,,,,,,,,74,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T08:00:00.000Z
2,2,LAV,2022-03-24 06:00,2022-03-24 09:00,,40.0,33.0,OV,100.0,13.0,,,,,,,,,,6,7,N ,2.0,16.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,78.0,Y,7,0.0,N,13.0,L,,,,,,,,,,,,,,,,,,75,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T09:00:00.000Z
3,3,LAV,2022-03-24 06:00,2022-03-24 10:00,,40.0,34.0,OV,100.0,13.0,,,,,,,,,,5,7,N ,2.0,17.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4,78.0,Y,5,0.0,N,18.0,L,,,,,,,,,,,,,,,,,,98,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T10:00:00.000Z
4,4,LAV,2022-03-24 06:00,2022-03-24 11:00,,40.0,34.0,OV,100.0,14.0,,,,,,,,,,4,5,N ,4.0,13.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4,79.0,Y,5,0.0,N,17.0,L,,,,,,,,,,,,,,,,,,98,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T11:00:00.000Z
5,5,LAV,2022-03-24 06:00,2022-03-24 12:00,,41.0,35.0,OV,100.0,15.0,98.0,,,,,,,,,3,5,N ,5.0,11.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4,84.0,Y,5,1.0,N,16.0,L,,,,,,,,,,,,,,,,,,87,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T12:00:00.000Z
6,6,LAV,2022-03-24 06:00,2022-03-24 13:00,,42.0,35.0,OV,100.0,14.0,,,,,,,,,,3,3,BR,6.0,6.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,85.0,Y,3,0.0,N,21.0,L,,,,,,,,,,,,,,,,,,94,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T13:00:00.000Z
7,7,LAV,2022-03-24 06:00,2022-03-24 14:00,,41.0,36.0,OV,100.0,14.0,,,,,,,,,,3,4,BR,5.0,4.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,77.0,Y,3,0.0,N,18.0,L,,,,,,,,,,,,,,,,,,86,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T14:00:00.000Z
8,8,LAV,2022-03-24 06:00,2022-03-24 15:00,,41.0,37.0,OV,100.0,14.0,,,,,,,,,,2,3,BR,5.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,77.0,Y,3,0.0,N,9.0,N,,,,,,,,,,,,,,,,,,53,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T15:00:00.000Z
9,9,LAV,2022-03-24 06:00,2022-03-24 16:00,,39.0,38.0,OV,100.0,13.0,,,,,,,,,,2,3,BR,4.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,75.0,Y,4,0.0,N,6.0,N,,,,,,,,,,,,,,,,,,47,Y,,,2022-03-24T06:00:00.000Z,2022-03-24T16:00:00.000Z
