,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-01-02 06:00,2022-01-02 07:00,,46.0,45.0,OV,60.0,5.0,,,,,,,,,,2,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,88.0,Y,5,0.0,N,49.0,M,,,,,,,,,,,,,,,,,,87,Y,,,2022-01-02T06:00:00.000Z,2022-01-02T07:00:00.000Z
1,1,LAV,2022-01-02 06:00,2022-01-02 08:00,,46.0,45.0,OV,60.0,6.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,55.0,Y,4,0.0,N,19.0,L,,,,,,,,,,,,,,,,,,48,Y,,,2022-01-02T06:00:00.000Z,2022-01-02T08:00:00.000Z
2,2,LAV,2022-01-02 06:00,2022-01-02 09:00,,46.0,45.0,OV,30.0,7.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,48.0,Y,5,0.0,N,14.0,L,,,,,,,,,,,,,,,,,,55,Y,,,2022-01-02T06:00:00.000Z,2022-01-02T09:00:00.000Z
3,3,LAV,2022-01-02 06:00,2022-01-02 10:00,,46.0,45.0,OV,360.0,6.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,45.0,Y,4,0.0,N,8.0,N,,,,,,,,,,,,,,,,,,56,Y,,,2022-01-02T06:00:00.000Z,2022-01-02T10:00:00.000Z
4,4,LAV,2022-01-02 06:00,2022-01-02 11:00,,46.0,44.0,OV,360.0,7.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,38.0,N,4,0.0,N,7.0,N,,,,,,,,,,,,,,,,,,39,Y,,,2022-01-02T06:00:00.000Z,2022-01-02T11:00:00.000Z
5,5,LAV,2022-01-02 06:00,2022-01-02 12:00,,45.0,44.0,OV,350.0,7.0,100.0,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,32.0,N,5,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,40,Y,,,2022-01-02T06:00:00.000Z,2022-01-02T12:00:00.000Z
6,6,LAV,2022-01-02 06:00,2022-01-02 13:00,,45.0,44.0,OV,350.0,5.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,32.0,N,4,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,7,N,,,2022-01-02T06:00:00.000Z,2022-01-02T13:00:00.000Z
7,7,LAV,2022-01-02 06:00,2022-01-02 14:00,,45.0,44.0,OV,340.0,4.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,33.0,N,4,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,10,N,,,2022-01-02T06:00:00.000Z,2022-01-02T14:00:00.000Z
8,8,LAV,2022-01-02 06:00,2022-01-02 15:00,,46.0,43.0,OV,340.0,3.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,35.0,N,4,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,7,N,,,2022-01-02T06:00:00.000Z,2022-01-02T15:00:00.000Z
9,9,LAV,2022-01-02 06:00,2022-01-02 16:00,,46.0,43.0,OV,310.0,3.0,,,,,,,,,,2,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,30.0,N,3,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,12,N,,,2022-01-02T06:00:00.000Z,2022-01-02T16:00:00.000Z
10,10,LAV,2022-01-02 06:00,2022-01-02 17:00,,46.0,42.0,OV,310.0,4.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,25.0,N,4,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,11,N,,,2022-01-02T06:00:00.000Z,2022-01-02T17:00:00.000Z
11,11,LAV,2022-01-02 06:00,2022-01-02 18:00,,46.0,41.0,OV,310.0,4.0,37.0,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,20.0,N,4,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,23,N,,,2022-01-02T06:00:00.000Z,2022-01-02T18:00:00.000Z
12,12,LAV,2022-01-02 06:00,2022-01-02 19:00,,46.0,39.0,OV,310.0,5.0,,,,,,,,,,2,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,19.0,N,5,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,12,N,,,2022-01-02T06:00:00.000Z,2022-01-02T19:00:00.000Z
13,13,LAV,2022-01-02 06:00,2022-01-02 20:00,,45.0,37.0,OV,310.0,6.0,,,,,,,,,,2,5,BR,0.0,1.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,12.0,N,5,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,10,N,,,2022-01-02T06:00:00.000Z,2022-01-02T20:00:00.000Z
14,14,LAV,2022-01-02 06:00,2022-01-02 21:00,,44.0,35.0,OV,310.0,7.0,,,,,,,,,,3,5,HZ,1.0,1.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,9.0,N,4,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,17,N,,,2022-01-02T06:00:00.000Z,2022-01-02T21:00:00.000Z
15,15,LAV,2022-01-02 06:00,2022-01-02 22:00,,43.0,33.0,OV,320.0,6.0,,,,,,,,,,3,7,N ,1.0,11.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,8.0,N,5,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,5,N,,,2022-01-02T06:00:00.000Z,2022-01-02T22:00:00.000Z
16,16,LAV,2022-01-02 06:00,2022-01-02 23:00,,42.0,31.0,OV,320.0,7.0,,,,,,,,,,4,7,N ,2.0,20.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4,7.0,N,5,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,5,N,,,2022-01-02T06:00:00.000Z,2022-01-02T23:00:00.000Z
17,17,LAV,2022-01-02 06:00,2022-01-03 00:00,,41.0,29.0,OV,320.0,8.0,32.0,,,,,,,,,4,7,N ,2.0,30.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,7.0,N,7,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,5,N,,,2022-01-02T06:00:00.000Z,2022-01-03T00:00:00.000Z
18,18,LAV,2022-01-02 06:00,2022-01-03 01:00,,39.0,28.0,OV,320.0,8.0,,,,,,,,,,5,7,N ,1.0,40.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,4.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,4,N,,,2022-01-02T06:00:00.000Z,2022-01-03T01:00:00.000Z
19,19,LAV,2022-01-02 06:00,2022-01-03 02:00,,38.0,26.0,OV,320.0,9.0,,,,,,,,,,4,7,N ,1.0,51.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,3.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,3,N,,,2022-01-02T06:00:00.000Z,2022-01-03T02:00:00.000Z
20,20,LAV,2022-01-02 06:00,2022-01-03 03:00,,36.0,25.0,OV,330.0,9.0,,,,,,,,,,5,7,N ,1.0,62.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,2.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,3,N,,,2022-01-02T06:00:00.000Z,2022-01-03T03:00:00.000Z
21,21,LAV,2022-01-02 06:00,2022-01-03 04:00,,35.0,24.0,OV,330.0,9.0,,,,,,,,,,5,7,N ,1.0,70.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,2.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-01-02T06:00:00.000Z,2022-01-03T04:00:00.000Z
22,22,LAV,2022-01-02 06:00,2022-01-03 05:00,,34.0,23.0,OV,330.0,9.0,,,,,,,,,,6,7,N ,1.0,78.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,2.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T05:00:00.000Z
23,23,LAV,2022-01-02 06:00,2022-01-03 06:00,,33.0,22.0,OV,330.0,8.0,7.0,,,,,,,,,6,7,N ,2.0,86.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,3.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T06:00:00.000Z
24,24,LAV,2022-01-02 06:00,2022-01-03 07:00,,32.0,21.0,OV,330.0,8.0,,,,,,,,,,6,7,N ,2.0,89.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,2.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T07:00:00.000Z
25,25,LAV,2022-01-02 06:00,2022-01-03 08:00,,,,OV,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,6,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T08:00:00.000Z
26,26,LAV,2022-01-02 06:00,2022-01-03 09:00,,,,OV,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,,,6,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T09:00:00.000Z
27,27,LAV,2022-01-02 06:00,2022-01-03 10:00,,,,OV,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T10:00:00.000Z
28,28,LAV,2022-01-02 06:00,2022-01-03 11:00,,,,OV,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T11:00:00.000Z
29,29,LAV,2022-01-02 06:00,2022-01-03 12:00,,,,OV,,,0.0,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T12:00:00.000Z
30,30,LAV,2022-01-02 06:00,2022-01-03 13:00,,,,OV,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T13:00:00.000Z
31,31,LAV,2022-01-02 06:00,2022-01-03 14:00,,,,OV,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T14:00:00.000Z
32,32,LAV,2022-01-02 06:00,2022-01-03 15:00,,,,OV,,,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T15:00:00.000Z
33,33,LAV,2022-01-02 06:00,2022-01-03 16:00,,,,OV,,,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T16:00:00.000Z
34,34,LAV,2022-01-02 06:00,2022-01-03 17:00,,,,OV,,,,,,,,,,,,5,6,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T17:00:00.000Z
35,35,LAV,2022-01-02 06:00,2022-01-03 18:00,,,,OV,,,0.0,,,,,,,,,4,6,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T18:00:00.000Z
36,36,LAV,2022-01-02 06:00,2022-01-03 19:00,,,,OV,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T19:00:00.000Z
37,37,LAV,2022-01-02 06:00,2022-01-03 20:00,,,,OV,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-01-02T06:00:00.000Z,2022-01-03T20:00:00.000Z
