,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-06-04 00:00,2021-06-04 01:00,,70.0,64.0,OV,220.0,13.0,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,8.0,N,6,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-04T00:00:00.000Z,2021-06-04T01:00:00.000Z
1,1,LAV,2021-06-04 00:00,2021-06-04 02:00,,68.0,64.0,OV,220.0,13.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,11.0,N,6,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,3,N,,,2021-06-04T00:00:00.000Z,2021-06-04T02:00:00.000Z
2,2,LAV,2021-06-04 00:00,2021-06-04 03:00,,67.0,63.0,OV,220.0,12.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,16.0,N,7,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,5,N,,,2021-06-04T00:00:00.000Z,2021-06-04T03:00:00.000Z
3,3,LAV,2021-06-04 00:00,2021-06-04 04:00,,66.0,63.0,OV,220.0,11.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,38.0,Y,7,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,11,N,,,2021-06-04T00:00:00.000Z,2021-06-04T04:00:00.000Z
4,4,LAV,2021-06-04 00:00,2021-06-04 05:00,,66.0,63.0,OV,220.0,12.0,,,,,,,,,,4,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,40.0,Y,7,0.0,N,6.0,N,,,,,,,,,,,,,,,,,,23,N,,,2021-06-04T00:00:00.000Z,2021-06-04T05:00:00.000Z
5,5,LAV,2021-06-04 00:00,2021-06-04 06:00,,66.0,63.0,OV,220.0,11.0,42.0,,,,,,,,,4,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,57.0,Y,5,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,26,N,,,2021-06-04T00:00:00.000Z,2021-06-04T06:00:00.000Z
6,6,LAV,2021-06-04 00:00,2021-06-04 07:00,,66.0,63.0,OV,220.0,11.0,,,,,,,,,,3,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,54.0,Y,5,0.0,N,12.0,L,,,,,,,,,,,,,,,,,,40,Y,,,2021-06-04T00:00:00.000Z,2021-06-04T07:00:00.000Z
7,7,LAV,2021-06-04 00:00,2021-06-04 08:00,,66.0,63.0,OV,220.0,11.0,,,,,,,,,,3,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,46.0,Y,5,0.0,N,8.0,N,,,,,,,,,,,,,,,,,,39,Y,,,2021-06-04T00:00:00.000Z,2021-06-04T08:00:00.000Z
8,8,LAV,2021-06-04 00:00,2021-06-04 09:00,,65.0,63.0,OV,210.0,11.0,,,,,,,,,,3,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,28.0,N,5,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,19,N,,,2021-06-04T00:00:00.000Z,2021-06-04T09:00:00.000Z
9,9,LAV,2021-06-04 00:00,2021-06-04 10:00,,65.0,62.0,OV,220.0,10.0,,,,,,,,,,2,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,22.0,N,4,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,13,N,,,2021-06-04T00:00:00.000Z,2021-06-04T10:00:00.000Z
