,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-04-12 00:00,2021-04-12 01:00,,45.0,40.0,OV,70.0,9.0,,,,,,,,,,2,7,N ,0.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,2.0,N,3,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-04-12T00:00:00.000Z,2021-04-12T01:00:00.000Z
1,1,LAV,2021-04-12 00:00,2021-04-12 02:00,,44.0,40.0,OV,60.0,8.0,,,,,,,,,,2,3,N ,1.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,3.0,N,3,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-04-12T00:00:00.000Z,2021-04-12T02:00:00.000Z
2,2,LAV,2021-04-12 00:00,2021-04-12 03:00,,44.0,40.0,OV,50.0,8.0,,,,,,,,,,2,7,N ,0.0,3.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,4.0,N,6,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,6,N,,,2021-04-12T00:00:00.000Z,2021-04-12T03:00:00.000Z
3,3,LAV,2021-04-12 00:00,2021-04-12 04:00,,43.0,40.0,OV,50.0,8.0,,,,,,,,,,3,7,N ,0.0,5.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,5.0,N,7,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,12,N,,,2021-04-12T00:00:00.000Z,2021-04-12T04:00:00.000Z
4,4,LAV,2021-04-12 00:00,2021-04-12 05:00,,43.0,39.0,OV,50.0,7.0,,,,,,,,,,6,7,N ,0.0,7.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,6.0,N,7,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,19,N,,,2021-04-12T00:00:00.000Z,2021-04-12T05:00:00.000Z
5,5,LAV,2021-04-12 00:00,2021-04-12 06:00,,42.0,39.0,OV,40.0,7.0,30.0,,,,,,,,,7,7,N ,1.0,10.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,7.0,N,7,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,20,N,,,2021-04-12T00:00:00.000Z,2021-04-12T06:00:00.000Z
6,6,LAV,2021-04-12 00:00,2021-04-12 07:00,,42.0,38.0,OV,40.0,7.0,,,,,,,,,,7,7,N ,0.0,8.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,8.0,N,7,0.0,N,6.0,N,,,,,,,,,,,,,,,,,,19,N,,,2021-04-12T00:00:00.000Z,2021-04-12T07:00:00.000Z
7,7,LAV,2021-04-12 00:00,2021-04-12 08:00,,41.0,38.0,OV,30.0,9.0,,,,,,,,,,6,7,N ,0.0,7.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,10.0,N,7,0.0,N,6.0,N,,,,,,,,,,,,,,,,,,14,N,,,2021-04-12T00:00:00.000Z,2021-04-12T08:00:00.000Z
8,8,LAV,2021-04-12 00:00,2021-04-12 09:00,,41.0,37.0,OV,30.0,9.0,,,,,,,,,,6,7,N ,0.0,6.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,10.0,N,7,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,15,N,,,2021-04-12T00:00:00.000Z,2021-04-12T09:00:00.000Z
9,9,LAV,2021-04-12 00:00,2021-04-12 10:00,,41.0,37.0,OV,30.0,10.0,,,,,,,,,,6,7,N ,0.0,7.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,10.0,N,7,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,11,N,,,2021-04-12T00:00:00.000Z,2021-04-12T10:00:00.000Z
