,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-02-25 12:00,2022-02-25 13:00,,30.0,29.0,OV,80.0,15.0,,,,,,,,,,3,1,FG,2.0,98.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,100.0,Y,1,1.0,N,64.0,M,,,,,,,,,,,,,,,,,,100,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T13:00:00.000Z
1,1,LAV,2022-02-25 12:00,2022-02-25 14:00,,30.0,29.0,OV,80.0,15.0,,,,,,,,,,3,1,FG,3.0,97.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,100.0,Y,1,0.0,N,54.0,H,,,,,,,,,,,,,,,,,,100,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T14:00:00.000Z
2,2,LAV,2022-02-25 12:00,2022-02-25 15:00,,30.0,29.0,OV,80.0,15.0,,,,,,,,,,3,1,FG,6.0,94.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,100.0,Y,1,0.0,N,55.0,H,,,,,,,,,,,,,,,,,,100,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T15:00:00.000Z
3,3,LAV,2022-02-25 12:00,2022-02-25 16:00,,30.0,30.0,OV,80.0,13.0,,,,,,,,,,3,1,FG,9.0,92.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,100.0,Y,1,0.0,N,46.0,H,,,,,,,,,,,,,,,,,,100,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T16:00:00.000Z
4,4,LAV,2022-02-25 12:00,2022-02-25 17:00,,30.0,30.0,OV,80.0,13.0,,,,,,,,,,3,3,FG,11.0,86.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,100.0,Y,1,0.0,N,17.0,L,,,,,,,,,,,,,,,,,,87,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T17:00:00.000Z
5,5,LAV,2022-02-25 12:00,2022-02-25 18:00,,29.0,29.0,OV,80.0,11.0,100.0,,,,,,,,,3,3,FG,18.0,77.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,87.0,Y,3,0.0,N,11.0,N,,,,,,,,,,,,,,,,,,61,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T18:00:00.000Z
6,6,LAV,2022-02-25 12:00,2022-02-25 19:00,,29.0,29.0,OV,50.0,9.0,,,,,,,,,,3,3,BR,11.0,83.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,70.0,Y,3,0.0,N,8.0,N,,,,,,,,,,,,,,,,,,77,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T19:00:00.000Z
7,7,LAV,2022-02-25 12:00,2022-02-25 20:00,,27.0,27.0,OV,20.0,8.0,,,,,,,,,,2,3,BR,9.0,90.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,63.0,Y,3,0.0,N,6.0,N,,,,,,,,,,,,,,,,,,61,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T20:00:00.000Z
8,8,LAV,2022-02-25 12:00,2022-02-25 21:00,,26.0,26.0,OV,360.0,7.0,,,,,,,,,,3,2,BR,9.0,91.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,54.0,Y,2,0.0,N,19.0,L,,,,,,,,,,,,,,,,,,73,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T21:00:00.000Z
9,9,LAV,2022-02-25 12:00,2022-02-25 22:00,,27.0,22.0,OV,350.0,8.0,,,,,,,,,,3,3,BR,6.0,94.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,44.0,Y,3,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,64,Y,,,2022-02-25T12:00:00.000Z,2022-02-25T22:00:00.000Z
