,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-01-26 18:00,2021-01-26 19:00,,35.0,23.0,OV,90.0,8.0,,,,,,,,,,7,7,N ,1.0,75.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,2.0,N,6.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-26T19:00:00.000Z
1,1,LAV,2021-01-26 18:00,2021-01-26 20:00,,35.0,23.0,OV,100.0,8.0,,,,,,,,,,7,7,N ,1.0,83.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,3.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-26T20:00:00.000Z
2,2,LAV,2021-01-26 18:00,2021-01-26 21:00,,35.0,24.0,OV,110.0,8.0,,,,,,,,,,7,7,N ,1.0,88.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,6.0,N,5.0,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-26T21:00:00.000Z
3,3,LAV,2021-01-26 18:00,2021-01-26 22:00,,34.0,24.0,OV,110.0,8.0,,,,,,,,,,6,7,N ,0.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,27.0,N,5.0,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-26T22:00:00.000Z
4,4,LAV,2021-01-26 18:00,2021-01-26 23:00,,33.0,25.0,OV,110.0,7.0,,,,,,,,,,5,5,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,4.0,37.0,N,4.0,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-26T23:00:00.000Z
5,5,LAV,2021-01-26 18:00,2021-01-27 00:00,,33.0,26.0,OV,90.0,6.0,42.0,,,,,,,,,4,3,BR,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,4.0,53.0,Y,4.0,0.0,N,6.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-27T00:00:00.000Z
6,6,LAV,2021-01-26 18:00,2021-01-27 01:00,,32.0,27.0,OV,70.0,6.0,,,,,,,,,,3,3,BR,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,60.0,Y,4.0,0.0,N,9.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-27T01:00:00.000Z
7,7,LAV,2021-01-26 18:00,2021-01-27 02:00,,32.0,27.0,OV,70.0,7.0,,,,,,,,,,3,3,BR,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,59.0,Y,3.0,0.0,N,9.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-27T02:00:00.000Z
8,8,LAV,2021-01-26 18:00,2021-01-27 03:00,,31.0,27.0,OV,60.0,7.0,,,,,,,,,,3,3,BR,1.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,53.0,Y,3.0,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-27T03:00:00.000Z
9,9,LAV,2021-01-26 18:00,2021-01-27 04:00,,32.0,28.0,OV,60.0,6.0,,,,,,,,,,2,3,BR,1.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,56.0,Y,3.0,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,,,,,2021-01-26T18:00:00.000Z,2021-01-27T04:00:00.000Z
