,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-07-30 00:00,2021-07-30 01:00,,70.0,63.0,OV,180.0,13.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,50.0,Y,7,0.0,N,16.0,L,,,,,,,,,,,,,,,,,,55,Y,,,2021-07-30T00:00:00.000Z,2021-07-30T01:00:00.000Z
1,1,LAV,2021-07-30 00:00,2021-07-30 02:00,,69.0,64.0,OV,180.0,16.0,,,,,,,,,,6,7,N ,,,,,22.0,,,,,,,,,,,KBOS,,,,,,,,,,5,71.0,Y,5,1.0,N,10.0,N,,,,,,,,,,,,,,,,,,15,N,,,2021-07-30T00:00:00.000Z,2021-07-30T02:00:00.000Z
2,2,LAV,2021-07-30 00:00,2021-07-30 03:00,,69.0,64.0,OV,180.0,16.0,,,,,,,,,,6,6,BR,,,,,23.0,,,,,,,,,,,KBOS,,,,,,,,,,4,46.0,Y,5,1.0,N,12.0,L,,,,,,,,,,,,,,,,,,28,N,,,2021-07-30T00:00:00.000Z,2021-07-30T03:00:00.000Z
3,3,LAV,2021-07-30 00:00,2021-07-30 04:00,,68.0,64.0,OV,190.0,16.0,,,,,,,,,,5,5,N ,,,,,23.0,,,,,,,,,,,KBOS,,,,,,,,,,4,44.0,Y,5,2.0,N,20.0,L,,,,,,,,,,,,,,,,,,23,N,,,2021-07-30T00:00:00.000Z,2021-07-30T04:00:00.000Z
4,4,LAV,2021-07-30 00:00,2021-07-30 05:00,,68.0,65.0,OV,200.0,16.0,,,,,,,,,,4,7,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,50.0,Y,5,2.0,N,19.0,L,,,,,,,,,,,,,,,,,,20,N,,,2021-07-30T00:00:00.000Z,2021-07-30T05:00:00.000Z
5,5,LAV,2021-07-30 00:00,2021-07-30 06:00,,68.0,65.0,OV,210.0,14.0,76.0,,,,,,,,,4,7,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,31.0,N,5,2.0,N,10.0,N,,,,,,,,,,,,,,,,,,11,N,,,2021-07-30T00:00:00.000Z,2021-07-30T06:00:00.000Z
6,6,LAV,2021-07-30 00:00,2021-07-30 07:00,,68.0,65.0,OV,220.0,13.0,,,,,,,,,,4,7,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,39.0,N,7,2.0,N,8.0,N,,,,,,,,,,,,,,,,,,6,N,,,2021-07-30T00:00:00.000Z,2021-07-30T07:00:00.000Z
7,7,LAV,2021-07-30 00:00,2021-07-30 08:00,,68.0,65.0,OV,240.0,11.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,21.0,N,7,1.0,N,9.0,N,,,,,,,,,,,,,,,,,,8,N,,,2021-07-30T00:00:00.000Z,2021-07-30T08:00:00.000Z
8,8,LAV,2021-07-30 00:00,2021-07-30 09:00,,68.0,65.0,OV,250.0,10.0,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,16.0,N,7,2.0,N,6.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-07-30T00:00:00.000Z,2021-07-30T09:00:00.000Z
9,9,LAV,2021-07-30 00:00,2021-07-30 10:00,,68.0,65.0,OV,260.0,9.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,13.0,N,5,1.0,N,3.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T10:00:00.000Z
10,10,LAV,2021-07-30 00:00,2021-07-30 11:00,,68.0,65.0,OV,280.0,9.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,10.0,N,5,1.0,N,1.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-30T00:00:00.000Z,2021-07-30T11:00:00.000Z
11,11,LAV,2021-07-30 00:00,2021-07-30 12:00,,70.0,65.0,BK,290.0,9.0,17.0,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,7.0,N,7,1.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-30T00:00:00.000Z,2021-07-30T12:00:00.000Z
12,12,LAV,2021-07-30 00:00,2021-07-30 13:00,,72.0,65.0,BK,300.0,9.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,5.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-30T00:00:00.000Z,2021-07-30T13:00:00.000Z
13,13,LAV,2021-07-30 00:00,2021-07-30 14:00,,74.0,64.0,BK,300.0,10.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,5.0,N,7,1.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-30T00:00:00.000Z,2021-07-30T14:00:00.000Z
14,14,LAV,2021-07-30 00:00,2021-07-30 15:00,,76.0,63.0,BK,310.0,10.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,5.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-30T00:00:00.000Z,2021-07-30T15:00:00.000Z
15,15,LAV,2021-07-30 00:00,2021-07-30 16:00,,78.0,62.0,BK,300.0,10.0,,,,,,,,,,7,7,N ,,,,,17.0,,,,,,,,,,,KBOS,,,,,,,,,,7,2.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T16:00:00.000Z
16,16,LAV,2021-07-30 00:00,2021-07-30 17:00,,79.0,60.0,BK,300.0,10.0,,,,,,,,,,7,7,N ,,,,,17.0,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T17:00:00.000Z
17,17,LAV,2021-07-30 00:00,2021-07-30 18:00,,80.0,59.0,BK,300.0,10.0,1.0,,,,,,,,,7,7,N ,,,,,17.0,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T18:00:00.000Z
18,18,LAV,2021-07-30 00:00,2021-07-30 19:00,,80.0,57.0,BK,300.0,11.0,,,,,,,,,,7,7,N ,,,,,18.0,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,1.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T19:00:00.000Z
19,19,LAV,2021-07-30 00:00,2021-07-30 20:00,,80.0,56.0,BK,290.0,12.0,,,,,,,,,,7,7,N ,,,,,19.0,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T20:00:00.000Z
20,20,LAV,2021-07-30 00:00,2021-07-30 21:00,,78.0,55.0,BK,290.0,13.0,,,,,,,,,,7,7,N ,,,,,20.0,,,,,,,,,,,KBOS,,,,,,,,,,7,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T21:00:00.000Z
21,21,LAV,2021-07-30 00:00,2021-07-30 22:00,,76.0,54.0,BK,300.0,15.0,,,,,,,,,,7,7,N ,,,,,22.0,,,,,,,,,,,KBOS,,,,,,,,,,7,2.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T22:00:00.000Z
22,22,LAV,2021-07-30 00:00,2021-07-30 23:00,,75.0,53.0,BK,300.0,17.0,,,,,,,,,,8,7,N ,,,,,24.0,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-30T23:00:00.000Z
23,23,LAV,2021-07-30 00:00,2021-07-31 00:00,,72.0,51.0,BK,300.0,18.0,1.0,,,,,,,,,8,7,N ,,,,,24.0,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-30T00:00:00.000Z,2021-07-31T00:00:00.000Z
24,24,LAV,2021-07-30 00:00,2021-07-31 01:00,,70.0,50.0,SC,300.0,17.0,,,,,,,,,,8,7,N ,,,,,24.0,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T01:00:00.000Z
25,25,LAV,2021-07-30 00:00,2021-07-31 02:00,,,,SC,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T02:00:00.000Z
26,26,LAV,2021-07-30 00:00,2021-07-31 03:00,,,,FW,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T03:00:00.000Z
27,27,LAV,2021-07-30 00:00,2021-07-31 04:00,,,,CL,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T04:00:00.000Z
28,28,LAV,2021-07-30 00:00,2021-07-31 05:00,,,,CL,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T05:00:00.000Z
29,29,LAV,2021-07-30 00:00,2021-07-31 06:00,,,,CL,,,0.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T06:00:00.000Z
30,30,LAV,2021-07-30 00:00,2021-07-31 07:00,,,,CL,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T07:00:00.000Z
31,31,LAV,2021-07-30 00:00,2021-07-31 08:00,,,,CL,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T08:00:00.000Z
32,32,LAV,2021-07-30 00:00,2021-07-31 09:00,,,,CL,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2021-07-30T00:00:00.000Z,2021-07-31T09:00:00.000Z
