,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-02-03 00:00,2022-02-03 01:00,,38.0,38.0,OV,200.0,2.0,,,,,,,,,,4,5,BR,0.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,0.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-03T00:00:00.000Z,2022-02-03T01:00:00.000Z
1,1,LAV,2022-02-03 00:00,2022-02-03 02:00,,38.0,38.0,OV,180.0,2.0,,,,,,,,,,2,4,BR,0.0,3.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-03T00:00:00.000Z,2022-02-03T02:00:00.000Z
2,2,LAV,2022-02-03 00:00,2022-02-03 03:00,,39.0,38.0,OV,240.0,3.0,,,,,,,,,,2,4,BR,0.0,3.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-03T00:00:00.000Z,2022-02-03T03:00:00.000Z
3,3,LAV,2022-02-03 00:00,2022-02-03 04:00,,39.0,39.0,OV,200.0,3.0,,,,,,,,,,2,1,BR,0.0,6.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-03T00:00:00.000Z,2022-02-03T04:00:00.000Z
4,4,LAV,2022-02-03 00:00,2022-02-03 05:00,,39.0,39.0,OV,210.0,2.0,,,,,,,,,,2,2,BR,0.0,9.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-02-03T00:00:00.000Z,2022-02-03T05:00:00.000Z
5,5,LAV,2022-02-03 00:00,2022-02-03 06:00,,40.0,39.0,OV,200.0,2.0,3.0,,,,,,,,,2,1,BR,1.0,12.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,8.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,3,N,,,2022-02-03T00:00:00.000Z,2022-02-03T06:00:00.000Z
6,6,LAV,2022-02-03 00:00,2022-02-03 07:00,,40.0,39.0,OV,200.0,3.0,,,,,,,,,,2,1,BR,1.0,8.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,4,N,,,2022-02-03T00:00:00.000Z,2022-02-03T07:00:00.000Z
7,7,LAV,2022-02-03 00:00,2022-02-03 08:00,,40.0,39.0,OV,220.0,3.0,,,,,,,,,,2,1,FG,0.0,6.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,9,N,,,2022-02-03T00:00:00.000Z,2022-02-03T08:00:00.000Z
8,8,LAV,2022-02-03 00:00,2022-02-03 09:00,,40.0,39.0,OV,210.0,4.0,,,,,,,,,,2,1,FG,0.0,4.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,14,N,,,2022-02-03T00:00:00.000Z,2022-02-03T09:00:00.000Z
9,9,LAV,2022-02-03 00:00,2022-02-03 10:00,,39.0,38.0,OV,220.0,4.0,,,,,,,,,,2,2,FG,0.0,3.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,2.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,12,N,,,2022-02-03T00:00:00.000Z,2022-02-03T10:00:00.000Z
