,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-01-02 00:00,2022-01-02 01:00,,49.0,49.0,OV,230.0,4.0,,,,,,,,,,2,2,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,43.0,Y,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,27,N,,,2022-01-02T00:00:00.000Z,2022-01-02T01:00:00.000Z
1,1,LAV,2022-01-02 00:00,2022-01-02 02:00,,48.0,48.0,OV,220.0,3.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,32.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,10,N,,,2022-01-02T00:00:00.000Z,2022-01-02T02:00:00.000Z
2,2,LAV,2022-01-02 00:00,2022-01-02 03:00,,48.0,48.0,OV,220.0,3.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,56.0,Y,3,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,22,N,,,2022-01-02T00:00:00.000Z,2022-01-02T03:00:00.000Z
3,3,LAV,2022-01-02 00:00,2022-01-02 04:00,,48.0,48.0,OV,220.0,1.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,39.0,N,2,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,41,Y,,,2022-01-02T00:00:00.000Z,2022-01-02T04:00:00.000Z
4,4,LAV,2022-01-02 00:00,2022-01-02 05:00,,48.0,47.0,OV,270.0,2.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,63.0,Y,2,0.0,N,10.0,N,,,,,,,,,,,,,,,,,,65,Y,,,2022-01-02T00:00:00.000Z,2022-01-02T05:00:00.000Z
5,5,LAV,2022-01-02 00:00,2022-01-02 06:00,,47.0,47.0,OV,330.0,2.0,100.0,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,77.0,Y,2,0.0,N,16.0,L,,,,,,,,,,,,,,,,,,91,Y,,,2022-01-02T00:00:00.000Z,2022-01-02T06:00:00.000Z
6,6,LAV,2022-01-02 00:00,2022-01-02 07:00,,47.0,47.0,OV,320.0,3.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,77.0,Y,2,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,53,Y,,,2022-01-02T00:00:00.000Z,2022-01-02T07:00:00.000Z
7,7,LAV,2022-01-02 00:00,2022-01-02 08:00,,47.0,46.0,OV,350.0,4.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,72.0,Y,2,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,31,Y,,,2022-01-02T00:00:00.000Z,2022-01-02T08:00:00.000Z
8,8,LAV,2022-01-02 00:00,2022-01-02 09:00,,47.0,46.0,OV,350.0,6.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,64.0,Y,2,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,59,Y,,,2022-01-02T00:00:00.000Z,2022-01-02T09:00:00.000Z
9,9,LAV,2022-01-02 00:00,2022-01-02 10:00,,47.0,45.0,OV,350.0,6.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,55.0,Y,3,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,49,Y,,,2022-01-02T00:00:00.000Z,2022-01-02T10:00:00.000Z
