,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-06-23 06:00,2022-06-23 07:00,,59.0,58.0,OV,100.0,6.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T07:00:00.000Z
1,1,LAV,2022-06-23 06:00,2022-06-23 08:00,,59.0,57.0,BK,110.0,6.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T08:00:00.000Z
2,2,LAV,2022-06-23 06:00,2022-06-23 09:00,,58.0,57.0,OV,120.0,6.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T09:00:00.000Z
3,3,LAV,2022-06-23 06:00,2022-06-23 10:00,,58.0,57.0,OV,120.0,6.0,,,,,,,,,,3,4,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,1.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T10:00:00.000Z
4,4,LAV,2022-06-23 06:00,2022-06-23 11:00,,60.0,58.0,OV,130.0,6.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T11:00:00.000Z
5,5,LAV,2022-06-23 06:00,2022-06-23 12:00,,61.0,58.0,BK,130.0,6.0,0.0,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T12:00:00.000Z
6,6,LAV,2022-06-23 06:00,2022-06-23 13:00,,63.0,59.0,BK,140.0,7.0,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T13:00:00.000Z
7,7,LAV,2022-06-23 06:00,2022-06-23 14:00,,64.0,59.0,BK,140.0,8.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T14:00:00.000Z
8,8,LAV,2022-06-23 06:00,2022-06-23 15:00,,66.0,59.0,BK,140.0,9.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T15:00:00.000Z
9,9,LAV,2022-06-23 06:00,2022-06-23 16:00,,67.0,59.0,BK,140.0,10.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T16:00:00.000Z
10,10,LAV,2022-06-23 06:00,2022-06-23 17:00,,66.0,59.0,BK,140.0,11.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T06:00:00.000Z,2022-06-23T17:00:00.000Z
11,11,LAV,2022-06-23 06:00,2022-06-23 18:00,,66.0,59.0,BK,140.0,11.0,1.0,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-06-23T06:00:00.000Z,2022-06-23T18:00:00.000Z
12,12,LAV,2022-06-23 06:00,2022-06-23 19:00,,66.0,58.0,BK,130.0,12.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-06-23T06:00:00.000Z,2022-06-23T19:00:00.000Z
