,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2020-12-25 18:00,2020-12-25 19:00,,53.0,52.0,OV,180.0,14.0,,,,,,,,,,5,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6.0,100.0,Y,4.0,0.0,N,31.0,M,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-25T19:00:00.000Z
1,1,LAV,2020-12-25 18:00,2020-12-25 20:00,,52.0,51.0,OV,180.0,15.0,,,,,,,,,,4,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,100.0,Y,4.0,0.0,N,23.0,L,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-25T20:00:00.000Z
2,2,LAV,2020-12-25 18:00,2020-12-25 21:00,,52.0,51.0,OV,170.0,13.0,,,,,,,,,,4,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,100.0,Y,4.0,0.0,N,38.0,H,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-25T21:00:00.000Z
3,3,LAV,2020-12-25 18:00,2020-12-25 22:00,,51.0,50.0,OV,160.0,14.0,,,,,,,,,,4,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,100.0,Y,5.0,0.0,N,31.0,M,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-25T22:00:00.000Z
4,4,LAV,2020-12-25 18:00,2020-12-25 23:00,,49.0,49.0,OV,170.0,14.0,,,,,,,,,,4,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4.0,84.0,Y,5.0,0.0,N,12.0,L,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-25T23:00:00.000Z
5,5,LAV,2020-12-25 18:00,2020-12-26 00:00,,48.0,47.0,OV,170.0,13.0,100.0,,,,,,,,,5,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4.0,74.0,Y,5.0,0.0,N,12.0,L,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-26T00:00:00.000Z
6,6,LAV,2020-12-25 18:00,2020-12-26 01:00,,46.0,45.0,OV,180.0,12.0,,,,,,,,,,5,5,BR,0.0,7.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,65.0,Y,5.0,0.0,N,14.0,L,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-26T01:00:00.000Z
7,7,LAV,2020-12-25 18:00,2020-12-26 02:00,,46.0,42.0,OV,190.0,12.0,,,,,,,,,,6,6,N ,0.0,14.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,49.0,Y,7.0,0.0,N,8.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-26T02:00:00.000Z
8,8,LAV,2020-12-25 18:00,2020-12-26 03:00,,44.0,40.0,OV,200.0,11.0,,,,,,,,,,6,7,N ,0.0,23.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6.0,37.0,N,7.0,0.0,N,6.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-26T03:00:00.000Z
9,9,LAV,2020-12-25 18:00,2020-12-26 04:00,,43.0,37.0,OV,210.0,12.0,,,,,,,,,,6,7,N ,0.0,33.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6.0,26.0,N,7.0,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-25T18:00:00.000Z,2020-12-26T04:00:00.000Z
