,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-07-28 12:00,2021-07-28 13:00,,68.0,60.0,OV,20.0,8.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,24.0,N,7,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-28T12:00:00.000Z,2021-07-28T13:00:00.000Z
1,1,LAV,2021-07-28 12:00,2021-07-28 14:00,,68.0,59.0,OV,20.0,9.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,0.0,N,7,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,3,N,,,2021-07-28T12:00:00.000Z,2021-07-28T14:00:00.000Z
2,2,LAV,2021-07-28 12:00,2021-07-28 15:00,,68.0,59.0,OV,30.0,10.0,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,0.0,N,7,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,7,N,,,2021-07-28T12:00:00.000Z,2021-07-28T15:00:00.000Z
3,3,LAV,2021-07-28 12:00,2021-07-28 16:00,,68.0,58.0,OV,40.0,10.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,0.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,3,N,,,2021-07-28T12:00:00.000Z,2021-07-28T16:00:00.000Z
4,4,LAV,2021-07-28 12:00,2021-07-28 17:00,,68.0,58.0,OV,60.0,10.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-28T17:00:00.000Z
5,5,LAV,2021-07-28 12:00,2021-07-28 18:00,,68.0,58.0,BK,70.0,10.0,11.0,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-28T18:00:00.000Z
6,6,LAV,2021-07-28 12:00,2021-07-28 19:00,,68.0,58.0,BK,70.0,10.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-28T19:00:00.000Z
7,7,LAV,2021-07-28 12:00,2021-07-28 20:00,,67.0,58.0,SC,80.0,10.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-28T20:00:00.000Z
8,8,LAV,2021-07-28 12:00,2021-07-28 21:00,,67.0,58.0,SC,90.0,9.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-28T21:00:00.000Z
9,9,LAV,2021-07-28 12:00,2021-07-28 22:00,,66.0,58.0,SC,90.0,8.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-28T22:00:00.000Z
10,10,LAV,2021-07-28 12:00,2021-07-28 23:00,,66.0,57.0,SC,100.0,7.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-28T23:00:00.000Z
11,11,LAV,2021-07-28 12:00,2021-07-29 00:00,,65.0,57.0,SC,100.0,5.0,1.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-28T12:00:00.000Z,2021-07-29T00:00:00.000Z
12,12,LAV,2021-07-28 12:00,2021-07-29 01:00,,65.0,57.0,SC,130.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-28T12:00:00.000Z,2021-07-29T01:00:00.000Z
13,13,LAV,2021-07-28 12:00,2021-07-29 02:00,,65.0,56.0,FW,150.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-29T02:00:00.000Z
14,14,LAV,2021-07-28 12:00,2021-07-29 03:00,,65.0,56.0,CL,170.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-29T03:00:00.000Z
15,15,LAV,2021-07-28 12:00,2021-07-29 04:00,,65.0,56.0,SC,180.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-07-28T12:00:00.000Z,2021-07-29T04:00:00.000Z
16,16,LAV,2021-07-28 12:00,2021-07-29 05:00,,64.0,56.0,CL,210.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-28T12:00:00.000Z,2021-07-29T05:00:00.000Z
17,17,LAV,2021-07-28 12:00,2021-07-29 06:00,,63.0,56.0,CL,210.0,4.0,2.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-28T12:00:00.000Z,2021-07-29T06:00:00.000Z
18,18,LAV,2021-07-28 12:00,2021-07-29 07:00,,63.0,56.0,CL,220.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-28T12:00:00.000Z,2021-07-29T07:00:00.000Z
19,19,LAV,2021-07-28 12:00,2021-07-29 08:00,,62.0,56.0,SC,220.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-07-28T12:00:00.000Z,2021-07-29T08:00:00.000Z
20,20,LAV,2021-07-28 12:00,2021-07-29 09:00,,62.0,56.0,SC,220.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-07-28T12:00:00.000Z,2021-07-29T09:00:00.000Z
21,21,LAV,2021-07-28 12:00,2021-07-29 10:00,,62.0,56.0,BK,220.0,4.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-07-28T12:00:00.000Z,2021-07-29T10:00:00.000Z
22,22,LAV,2021-07-28 12:00,2021-07-29 11:00,,63.0,57.0,BK,220.0,5.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-07-28T12:00:00.000Z,2021-07-29T11:00:00.000Z
23,23,LAV,2021-07-28 12:00,2021-07-29 12:00,,65.0,58.0,SC,210.0,6.0,4.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-07-28T12:00:00.000Z,2021-07-29T12:00:00.000Z
24,24,LAV,2021-07-28 12:00,2021-07-29 13:00,,68.0,58.0,BK,210.0,7.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,1.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-07-28T12:00:00.000Z,2021-07-29T13:00:00.000Z
25,25,LAV,2021-07-28 12:00,2021-07-29 14:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-07-28T12:00:00.000Z,2021-07-29T14:00:00.000Z
26,26,LAV,2021-07-28 12:00,2021-07-29 15:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-07-28T12:00:00.000Z,2021-07-29T15:00:00.000Z
27,27,LAV,2021-07-28 12:00,2021-07-29 16:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,4,N,,,2021-07-28T12:00:00.000Z,2021-07-29T16:00:00.000Z
28,28,LAV,2021-07-28 12:00,2021-07-29 17:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,6,N,,,2021-07-28T12:00:00.000Z,2021-07-29T17:00:00.000Z
29,29,LAV,2021-07-28 12:00,2021-07-29 18:00,,,,OV,,,17.0,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,8,N,,,2021-07-28T12:00:00.000Z,2021-07-29T18:00:00.000Z
30,30,LAV,2021-07-28 12:00,2021-07-29 19:00,,,,OV,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,10,N,,,2021-07-28T12:00:00.000Z,2021-07-29T19:00:00.000Z
31,31,LAV,2021-07-28 12:00,2021-07-29 20:00,,,,OV,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,14,N,,,2021-07-28T12:00:00.000Z,2021-07-29T20:00:00.000Z
32,32,LAV,2021-07-28 12:00,2021-07-29 21:00,,,,OV,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,21,Y,,,2021-07-28T12:00:00.000Z,2021-07-29T21:00:00.000Z
33,33,LAV,2021-07-28 12:00,2021-07-29 22:00,,,,OV,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,20,N,,,2021-07-28T12:00:00.000Z,2021-07-29T22:00:00.000Z
34,34,LAV,2021-07-28 12:00,2021-07-29 23:00,,,,OV,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,18,N,,,2021-07-28T12:00:00.000Z,2021-07-29T23:00:00.000Z
35,35,LAV,2021-07-28 12:00,2021-07-30 00:00,,,,OV,,,49.0,,,,,,,,,3,5,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,23,Y,,,2021-07-28T12:00:00.000Z,2021-07-30T00:00:00.000Z
36,36,LAV,2021-07-28 12:00,2021-07-30 01:00,,,,OV,,,,,,,,,,,,3,5,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,12,N,,,2021-07-28T12:00:00.000Z,2021-07-30T01:00:00.000Z
37,37,LAV,2021-07-28 12:00,2021-07-30 02:00,,,,OV,,,,,,,,,,,,3,5,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,12,N,,,2021-07-28T12:00:00.000Z,2021-07-30T02:00:00.000Z
