,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-03-10 00:00,2022-03-10 01:00,,33.0,31.0,OV,10.0,6.0,,,,,,,,,,2,2,FG,0.0,98.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,77.0,Y,2,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,95,Y,,,2022-03-10T00:00:00.000Z,2022-03-10T01:00:00.000Z
1,1,LAV,2022-03-10 00:00,2022-03-10 02:00,,33.0,30.0,OV,360.0,6.0,,,,,,,,,,2,2,FG,0.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,61.0,Y,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,63,Y,,,2022-03-10T00:00:00.000Z,2022-03-10T02:00:00.000Z
2,2,LAV,2022-03-10 00:00,2022-03-10 03:00,,33.0,30.0,OV,340.0,6.0,,,,,,,,,,2,2,FG,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,44.0,Y,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,19,N,,,2022-03-10T00:00:00.000Z,2022-03-10T03:00:00.000Z
3,3,LAV,2022-03-10 00:00,2022-03-10 04:00,,32.0,29.0,OV,330.0,5.0,,,,,,,,,,2,3,FG,0.0,97.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,33.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,5,N,,,2022-03-10T00:00:00.000Z,2022-03-10T04:00:00.000Z
4,4,LAV,2022-03-10 00:00,2022-03-10 05:00,,32.0,28.0,OV,330.0,4.0,,,,,,,,,,2,3,FG,0.0,95.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,24.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T05:00:00.000Z
5,5,LAV,2022-03-10 00:00,2022-03-10 06:00,,32.0,27.0,OV,320.0,4.0,99.0,,,,,,,,,2,4,FG,1.0,93.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,7.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T06:00:00.000Z
6,6,LAV,2022-03-10 00:00,2022-03-10 07:00,,31.0,27.0,OV,310.0,4.0,,,,,,,,,,6,3,FG,0.0,96.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,5.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T07:00:00.000Z
7,7,LAV,2022-03-10 00:00,2022-03-10 08:00,,31.0,26.0,BK,300.0,3.0,,,,,,,,,,8,3,FG,0.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,5.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T08:00:00.000Z
8,8,LAV,2022-03-10 00:00,2022-03-10 09:00,,31.0,26.0,OV,290.0,4.0,,,,,,,,,,8,3,FG,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,3.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T09:00:00.000Z
9,9,LAV,2022-03-10 00:00,2022-03-10 10:00,,31.0,26.0,BK,290.0,4.0,,,,,,,,,,8,7,FG,0.0,99.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,3.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T10:00:00.000Z
10,10,LAV,2022-03-10 00:00,2022-03-10 11:00,,31.0,26.0,OV,280.0,4.0,,,,,,,,,,8,7,N ,0.0,95.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,2.0,N,6,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T11:00:00.000Z
11,11,LAV,2022-03-10 00:00,2022-03-10 12:00,,32.0,26.0,OV,280.0,5.0,0.0,,,,,,,,,8,7,N ,2.0,90.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,3.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T12:00:00.000Z
12,12,LAV,2022-03-10 00:00,2022-03-10 13:00,,34.0,27.0,SC,290.0,5.0,,,,,,,,,,8,7,N ,1.0,75.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,3.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T13:00:00.000Z
13,13,LAV,2022-03-10 00:00,2022-03-10 14:00,,37.0,27.0,SC,290.0,6.0,,,,,,,,,,8,7,N ,0.0,63.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,3.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-10T00:00:00.000Z,2022-03-10T14:00:00.000Z
