,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-06-09 12:00,2022-06-09 13:00,,64.0,63.0,OV,100.0,9.0,,,,,,,,,,4,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,93.0,Y,4,14.0,L,100.0,H,,,,,,,,,,,,,,,,,,100,Y,,,2022-06-09T12:00:00.000Z,2022-06-09T13:00:00.000Z
1,1,LAV,2022-06-09 12:00,2022-06-09 14:00,,64.0,64.0,OV,100.0,10.0,,,,,,,,,,3,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,91.0,Y,4,13.0,L,99.0,H,,,,,,,,,,,,,,,,,,100,Y,,,2022-06-09T12:00:00.000Z,2022-06-09T14:00:00.000Z
2,2,LAV,2022-06-09 12:00,2022-06-09 15:00,,64.0,64.0,OV,110.0,9.0,,,,,,,,,,3,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,69.0,Y,4,7.0,L,53.0,H,,,,,,,,,,,,,,,,,,74,Y,,,2022-06-09T12:00:00.000Z,2022-06-09T15:00:00.000Z
3,3,LAV,2022-06-09 12:00,2022-06-09 16:00,,64.0,63.0,OV,140.0,10.0,,,,,,,,,,3,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,59.0,Y,4,3.0,N,21.0,L,,,,,,,,,,,,,,,,,,21,N,,,2022-06-09T12:00:00.000Z,2022-06-09T16:00:00.000Z
4,4,LAV,2022-06-09 12:00,2022-06-09 17:00,,66.0,63.0,OV,170.0,11.0,,,,,,,,,,3,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,50.0,Y,4,2.0,N,11.0,N,,,,,,,,,,,,,,,,,,12,N,,,2022-06-09T12:00:00.000Z,2022-06-09T17:00:00.000Z
5,5,LAV,2022-06-09 12:00,2022-06-09 18:00,,67.0,63.0,OV,200.0,12.0,100.0,,,,,,,,,3,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,37.0,Y,4,3.0,N,16.0,L,,,,,,,,,,,,,,,,,,11,N,,,2022-06-09T12:00:00.000Z,2022-06-09T18:00:00.000Z
6,6,LAV,2022-06-09 12:00,2022-06-09 19:00,,68.0,63.0,OV,230.0,12.0,,,,,,,,,,3,5,N ,,,,,19.0,,,,,,,,,,,KBOS,,,,,,,,,,4,29.0,N,4,4.0,N,10.0,N,,,,,,,,,,,,,,,,,,13,N,,,2022-06-09T12:00:00.000Z,2022-06-09T19:00:00.000Z
7,7,LAV,2022-06-09 12:00,2022-06-09 20:00,,69.0,62.0,OV,250.0,12.0,,,,,,,,,,4,7,N ,,,,,19.0,,,,,,,,,,,KBOS,,,,,,,,,,5,14.0,N,4,11.0,L,20.0,L,,,,,,,,,,,,,,,,,,17,N,,,2022-06-09T12:00:00.000Z,2022-06-09T20:00:00.000Z
8,8,LAV,2022-06-09 12:00,2022-06-09 21:00,,68.0,60.0,OV,280.0,12.0,,,,,,,,,,6,7,N ,,,,,19.0,,,,,,,,,,,KBOS,,,,,,,,,,6,12.0,N,7,2.0,N,7.0,N,,,,,,,,,,,,,,,,,,10,N,,,2022-06-09T12:00:00.000Z,2022-06-09T21:00:00.000Z
9,9,LAV,2022-06-09 12:00,2022-06-09 22:00,,67.0,59.0,BK,280.0,12.0,,,,,,,,,,6,7,N ,,,,,19.0,,,,,,,,,,,KBOS,,,,,,,,,,6,8.0,N,7,2.0,N,3.0,N,,,,,,,,,,,,,,,,,,7,N,,,2022-06-09T12:00:00.000Z,2022-06-09T22:00:00.000Z
10,10,LAV,2022-06-09 12:00,2022-06-09 23:00,,67.0,57.0,BK,300.0,10.0,,,,,,,,,,6,7,N ,,,,,18.0,,,,,,,,,,,KBOS,,,,,,,,,,7,3.0,N,7,1.0,N,3.0,N,,,,,,,,,,,,,,,,,,4,N,,,2022-06-09T12:00:00.000Z,2022-06-09T23:00:00.000Z
11,11,LAV,2022-06-09 12:00,2022-06-10 00:00,,66.0,56.0,SC,290.0,11.0,36.0,,,,,,,,,6,7,N ,,,,,18.0,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,4,1.0,N,2.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-06-09T12:00:00.000Z,2022-06-10T00:00:00.000Z
12,12,LAV,2022-06-09 12:00,2022-06-10 01:00,,65.0,55.0,SC,290.0,10.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,5.0,N,7,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T01:00:00.000Z
13,13,LAV,2022-06-09 12:00,2022-06-10 02:00,,64.0,54.0,SC,280.0,9.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,4.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T02:00:00.000Z
14,14,LAV,2022-06-09 12:00,2022-06-10 03:00,,63.0,53.0,SC,270.0,8.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T03:00:00.000Z
15,15,LAV,2022-06-09 12:00,2022-06-10 04:00,,63.0,52.0,SC,270.0,9.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T04:00:00.000Z
16,16,LAV,2022-06-09 12:00,2022-06-10 05:00,,62.0,51.0,CL,270.0,10.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T05:00:00.000Z
17,17,LAV,2022-06-09 12:00,2022-06-10 06:00,,60.0,51.0,CL,270.0,10.0,0.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T06:00:00.000Z
18,18,LAV,2022-06-09 12:00,2022-06-10 07:00,,60.0,50.0,CL,270.0,10.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T07:00:00.000Z
19,19,LAV,2022-06-09 12:00,2022-06-10 08:00,,59.0,50.0,CL,260.0,10.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T08:00:00.000Z
20,20,LAV,2022-06-09 12:00,2022-06-10 09:00,,59.0,49.0,FW,260.0,10.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T09:00:00.000Z
21,21,LAV,2022-06-09 12:00,2022-06-10 10:00,,58.0,49.0,SC,260.0,9.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T10:00:00.000Z
22,22,LAV,2022-06-09 12:00,2022-06-10 11:00,,59.0,49.0,SC,260.0,9.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T11:00:00.000Z
23,23,LAV,2022-06-09 12:00,2022-06-10 12:00,,62.0,49.0,FW,270.0,10.0,0.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T12:00:00.000Z
24,24,LAV,2022-06-09 12:00,2022-06-10 13:00,,65.0,49.0,SC,270.0,10.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T13:00:00.000Z
25,25,LAV,2022-06-09 12:00,2022-06-10 14:00,,,,SC,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T14:00:00.000Z
26,26,LAV,2022-06-09 12:00,2022-06-10 15:00,,,,SC,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T15:00:00.000Z
27,27,LAV,2022-06-09 12:00,2022-06-10 16:00,,,,SC,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T16:00:00.000Z
28,28,LAV,2022-06-09 12:00,2022-06-10 17:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T17:00:00.000Z
29,29,LAV,2022-06-09 12:00,2022-06-10 18:00,,,,BK,,,0.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T18:00:00.000Z
30,30,LAV,2022-06-09 12:00,2022-06-10 19:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T19:00:00.000Z
31,31,LAV,2022-06-09 12:00,2022-06-10 20:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T20:00:00.000Z
32,32,LAV,2022-06-09 12:00,2022-06-10 21:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T21:00:00.000Z
33,33,LAV,2022-06-09 12:00,2022-06-10 22:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T22:00:00.000Z
34,34,LAV,2022-06-09 12:00,2022-06-10 23:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-10T23:00:00.000Z
35,35,LAV,2022-06-09 12:00,2022-06-11 00:00,,,,SC,,,1.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,1,N,,,2022-06-09T12:00:00.000Z,2022-06-11T00:00:00.000Z
36,36,LAV,2022-06-09 12:00,2022-06-11 01:00,,,,SC,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-11T01:00:00.000Z
37,37,LAV,2022-06-09 12:00,2022-06-11 02:00,,,,SC,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,0,N,,,2022-06-09T12:00:00.000Z,2022-06-11T02:00:00.000Z
