,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-02-04 06:00,2021-02-04 07:00,,30.0,26.0,OV,300.0,8.0,,,,,,,,,,4,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,27.0,N,6.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T07:00:00.000Z
1,1,LAV,2021-02-04 06:00,2021-02-04 08:00,,30.0,25.0,OV,300.0,8.0,,,,,,,,,,5,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,4.0,20.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T08:00:00.000Z
2,2,LAV,2021-02-04 06:00,2021-02-04 09:00,,30.0,25.0,OV,310.0,8.0,,,,,,,,,,6,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,18.0,N,7.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T09:00:00.000Z
3,3,LAV,2021-02-04 06:00,2021-02-04 10:00,,30.0,24.0,OV,310.0,8.0,,,,,,,,,,6,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,16.0,N,7.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T10:00:00.000Z
4,4,LAV,2021-02-04 06:00,2021-02-04 11:00,,29.0,23.0,OV,310.0,8.0,,,,,,,,,,6,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,13.0,N,7.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T11:00:00.000Z
5,5,LAV,2021-02-04 06:00,2021-02-04 12:00,,29.0,23.0,BK,310.0,8.0,13.0,,,,,,,,,6,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,18.0,N,7.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T12:00:00.000Z
6,6,LAV,2021-02-04 06:00,2021-02-04 13:00,,30.0,23.0,BK,320.0,8.0,,,,,,,,,,7,7,N ,0.0,100.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,17.0,N,6.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T13:00:00.000Z
7,7,LAV,2021-02-04 06:00,2021-02-04 14:00,,31.0,23.0,BK,320.0,9.0,,,,,,,,,,7,7,N ,0.0,98.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,12.0,N,7.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T14:00:00.000Z
8,8,LAV,2021-02-04 06:00,2021-02-04 15:00,,33.0,23.0,BK,330.0,9.0,,,,,,,,,,7,7,N ,0.0,95.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,6.0,7.0,N,6.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T15:00:00.000Z
9,9,LAV,2021-02-04 06:00,2021-02-04 16:00,,35.0,23.0,BK,330.0,8.0,,,,,,,,,,6,7,N ,0.0,87.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,6.0,N,7.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2021-02-04T06:00:00.000Z,2021-02-04T16:00:00.000Z
