,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-08-20 12:00,2021-08-20 13:00,,73.0,69.0,OV,350.0,7.0,,,,,,,,,,3,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,23.0,N,4,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-08-20T12:00:00.000Z,2021-08-20T13:00:00.000Z
1,1,LAV,2021-08-20 12:00,2021-08-20 14:00,,74.0,69.0,OV,320.0,6.0,,,,,,,,,,3,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,14.0,N,4,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-08-20T12:00:00.000Z,2021-08-20T14:00:00.000Z
2,2,LAV,2021-08-20 12:00,2021-08-20 15:00,,74.0,69.0,OV,330.0,6.0,,,,,,,,,,3,5,HZ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,11.0,N,4,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-08-20T12:00:00.000Z,2021-08-20T15:00:00.000Z
3,3,LAV,2021-08-20 12:00,2021-08-20 16:00,,76.0,70.0,OV,350.0,6.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,7.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-08-20T12:00:00.000Z,2021-08-20T16:00:00.000Z
4,4,LAV,2021-08-20 12:00,2021-08-20 17:00,,77.0,70.0,OV,40.0,7.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,6.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-08-20T12:00:00.000Z,2021-08-20T17:00:00.000Z
5,5,LAV,2021-08-20 12:00,2021-08-20 18:00,,77.0,70.0,OV,40.0,7.0,8.0,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,6.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-08-20T12:00:00.000Z,2021-08-20T18:00:00.000Z
6,6,LAV,2021-08-20 12:00,2021-08-20 19:00,,77.0,70.0,OV,70.0,7.0,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,6.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,3,N,,,2021-08-20T12:00:00.000Z,2021-08-20T19:00:00.000Z
7,7,LAV,2021-08-20 12:00,2021-08-20 20:00,,77.0,70.0,OV,80.0,7.0,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,7.0,N,7,1.0,N,2.0,N,,,,,,,,,,,,,,,,,,5,N,,,2021-08-20T12:00:00.000Z,2021-08-20T20:00:00.000Z
8,8,LAV,2021-08-20 12:00,2021-08-20 21:00,,76.0,70.0,OV,80.0,7.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,8.0,N,7,2.0,N,2.0,N,,,,,,,,,,,,,,,,,,7,N,,,2021-08-20T12:00:00.000Z,2021-08-20T21:00:00.000Z
9,9,LAV,2021-08-20 12:00,2021-08-20 22:00,,75.0,70.0,OV,80.0,5.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,9.0,N,6,1.0,N,3.0,N,,,,,,,,,,,,,,,,,,6,N,,,2021-08-20T12:00:00.000Z,2021-08-20T22:00:00.000Z
10,10,LAV,2021-08-20 12:00,2021-08-20 23:00,,74.0,70.0,OV,80.0,4.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,8.0,N,7,1.0,N,4.0,N,,,,,,,,,,,,,,,,,,6,N,,,2021-08-20T12:00:00.000Z,2021-08-20T23:00:00.000Z
11,11,LAV,2021-08-20 12:00,2021-08-21 00:00,,73.0,70.0,OV,100.0,4.0,15.0,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,9.0,N,6,1.0,N,2.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-08-20T12:00:00.000Z,2021-08-21T00:00:00.000Z
12,12,LAV,2021-08-20 12:00,2021-08-21 01:00,,73.0,70.0,OV,230.0,3.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,7.0,N,7,1.0,N,1.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-08-20T12:00:00.000Z,2021-08-21T01:00:00.000Z
13,13,LAV,2021-08-20 12:00,2021-08-21 02:00,,73.0,70.0,OV,230.0,4.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,6.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-08-20T12:00:00.000Z,2021-08-21T02:00:00.000Z
14,14,LAV,2021-08-20 12:00,2021-08-21 03:00,,74.0,69.0,OV,230.0,3.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,5.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-08-20T12:00:00.000Z,2021-08-21T03:00:00.000Z
15,15,LAV,2021-08-20 12:00,2021-08-21 04:00,,74.0,69.0,OV,230.0,4.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,5.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-08-20T12:00:00.000Z,2021-08-21T04:00:00.000Z
16,16,LAV,2021-08-20 12:00,2021-08-21 05:00,,74.0,69.0,OV,220.0,4.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,5.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,5,N,,,2021-08-20T12:00:00.000Z,2021-08-21T05:00:00.000Z
17,17,LAV,2021-08-20 12:00,2021-08-21 06:00,,74.0,69.0,OV,220.0,3.0,13.0,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,3.0,N,5,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,6,N,,,2021-08-20T12:00:00.000Z,2021-08-21T06:00:00.000Z
18,18,LAV,2021-08-20 12:00,2021-08-21 07:00,,74.0,69.0,OV,230.0,3.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,3.0,N,4,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,7,N,,,2021-08-20T12:00:00.000Z,2021-08-21T07:00:00.000Z
19,19,LAV,2021-08-20 12:00,2021-08-21 08:00,,73.0,68.0,OV,230.0,3.0,,,,,,,,,,2,2,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,4.0,N,3,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,7,N,,,2021-08-20T12:00:00.000Z,2021-08-21T08:00:00.000Z
20,20,LAV,2021-08-20 12:00,2021-08-21 09:00,,73.0,68.0,OV,220.0,3.0,,,,,,,,,,2,2,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,4.0,N,3,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,8,N,,,2021-08-20T12:00:00.000Z,2021-08-21T09:00:00.000Z
21,21,LAV,2021-08-20 12:00,2021-08-21 10:00,,73.0,68.0,OV,250.0,4.0,,,,,,,,,,2,2,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,4.0,N,4,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,8,N,,,2021-08-20T12:00:00.000Z,2021-08-21T10:00:00.000Z
22,22,LAV,2021-08-20 12:00,2021-08-21 11:00,,74.0,68.0,OV,220.0,3.0,,,,,,,,,,6,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,4.0,N,3,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,8,N,,,2021-08-20T12:00:00.000Z,2021-08-21T11:00:00.000Z
23,23,LAV,2021-08-20 12:00,2021-08-21 12:00,,76.0,69.0,OV,90.0,2.0,17.0,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,3.0,N,5,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,8,N,,,2021-08-20T12:00:00.000Z,2021-08-21T12:00:00.000Z
24,24,LAV,2021-08-20 12:00,2021-08-21 13:00,,77.0,69.0,OV,100.0,4.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,8.0,N,6,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,9,N,,,2021-08-20T12:00:00.000Z,2021-08-21T13:00:00.000Z
25,25,LAV,2021-08-20 12:00,2021-08-21 14:00,,,,OV,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,9,N,,,2021-08-20T12:00:00.000Z,2021-08-21T14:00:00.000Z
26,26,LAV,2021-08-20 12:00,2021-08-21 15:00,,,,OV,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,9,N,,,2021-08-20T12:00:00.000Z,2021-08-21T15:00:00.000Z
27,27,LAV,2021-08-20 12:00,2021-08-21 16:00,,,,BK,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,8,N,,,2021-08-20T12:00:00.000Z,2021-08-21T16:00:00.000Z
28,28,LAV,2021-08-20 12:00,2021-08-21 17:00,,,,BK,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,9,N,,,2021-08-20T12:00:00.000Z,2021-08-21T17:00:00.000Z
29,29,LAV,2021-08-20 12:00,2021-08-21 18:00,,,,BK,,,21.0,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,11,N,,,2021-08-20T12:00:00.000Z,2021-08-21T18:00:00.000Z
30,30,LAV,2021-08-20 12:00,2021-08-21 19:00,,,,BK,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,,,7,,,,,,,,,,,,,,,,,,,,,,10,N,,,2021-08-20T12:00:00.000Z,2021-08-21T19:00:00.000Z
31,31,LAV,2021-08-20 12:00,2021-08-21 20:00,,,,OV,,,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,10,N,,,2021-08-20T12:00:00.000Z,2021-08-21T20:00:00.000Z
32,32,LAV,2021-08-20 12:00,2021-08-21 21:00,,,,OV,,,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,11,N,,,2021-08-20T12:00:00.000Z,2021-08-21T21:00:00.000Z
