,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2020-09-30 00:00,2020-09-30 01:00,,70.0,64.0,OV,180.0,7.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,8.0,N,7.0,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T01:00:00.000Z
1,1,LAV,2020-09-30 00:00,2020-09-30 02:00,,69.0,64.0,OV,180.0,8.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6.0,25.0,N,6.0,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T02:00:00.000Z
2,2,LAV,2020-09-30 00:00,2020-09-30 03:00,,69.0,65.0,OV,170.0,8.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,27.0,N,5.0,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T03:00:00.000Z
3,3,LAV,2020-09-30 00:00,2020-09-30 04:00,,69.0,65.0,OV,170.0,8.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,31.0,N,5.0,0.0,N,9.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T04:00:00.000Z
4,4,LAV,2020-09-30 00:00,2020-09-30 05:00,,69.0,66.0,OV,160.0,9.0,,,,,,,,,,3,6,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,37.0,N,5.0,0.0,N,13.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T05:00:00.000Z
5,5,LAV,2020-09-30 00:00,2020-09-30 06:00,,69.0,66.0,OV,150.0,10.0,40.0,,,,,,,,,3,6,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,42.0,Y,5.0,1.0,N,14.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T06:00:00.000Z
6,6,LAV,2020-09-30 00:00,2020-09-30 07:00,,69.0,67.0,OV,160.0,14.0,,,,,,,,,,3,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,52.0,Y,5.0,1.0,N,21.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T07:00:00.000Z
7,7,LAV,2020-09-30 00:00,2020-09-30 08:00,,69.0,67.0,OV,160.0,15.0,,,,,,,,,,3,6,BR,0.0,0.0,R ,,23.0,,,,,,,,,,,KBOS,,,,,,,,,,3.0,62.0,Y,5.0,1.0,N,22.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T08:00:00.000Z
8,8,LAV,2020-09-30 00:00,2020-09-30 09:00,,70.0,67.0,OV,160.0,19.0,,,,,,,,,,3,7,BR,0.0,0.0,R ,,27.0,,,,,,,,,,,KBOS,,,,,,,,,,3.0,78.0,Y,5.0,1.0,N,18.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T09:00:00.000Z
9,9,LAV,2020-09-30 00:00,2020-09-30 10:00,,69.0,67.0,OV,160.0,20.0,,,,,,,,,,3,5,BR,0.0,0.0,R ,,28.0,,,,,,,,,,,KBOS,,,,,,,,,,3.0,78.0,Y,5.0,0.0,N,16.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T10:00:00.000Z
10,10,LAV,2020-09-30 00:00,2020-09-30 11:00,,68.0,67.0,OV,170.0,19.0,,,,,,,,,,3,5,BR,0.0,0.0,R ,,27.0,,,,,,,,,,,KBOS,,,,,,,,,,3.0,79.0,Y,4.0,0.0,N,21.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T11:00:00.000Z
11,11,LAV,2020-09-30 00:00,2020-09-30 12:00,,68.0,67.0,OV,180.0,19.0,95.0,,,,,,,,,3,4,BR,0.0,0.0,R ,,27.0,,,,,,,,,,,KBOS,,,,,,,,,,2.0,75.0,Y,3.0,1.0,N,15.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T12:00:00.000Z
12,12,LAV,2020-09-30 00:00,2020-09-30 13:00,,67.0,66.0,OV,200.0,19.0,,,,,,,,,,3,4,BR,0.0,0.0,R ,,27.0,,,,,,,,,,,KBOS,,,,,,,,,,3.0,61.0,Y,4.0,0.0,N,15.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T13:00:00.000Z
13,13,LAV,2020-09-30 00:00,2020-09-30 14:00,,66.0,64.0,OV,220.0,16.0,,,,,,,,,,5,7,N ,0.0,0.0,R ,,24.0,,,,,,,,,,,KBOS,,,,,,,,,,3.0,35.0,N,5.0,1.0,N,12.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T14:00:00.000Z
14,14,LAV,2020-09-30 00:00,2020-09-30 15:00,,66.0,63.0,OV,240.0,15.0,,,,,,,,,,5,7,N ,0.0,0.0,R ,,23.0,,,,,,,,,,,KBOS,,,,,,,,,,4.0,25.0,N,7.0,0.0,N,13.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T15:00:00.000Z
15,15,LAV,2020-09-30 00:00,2020-09-30 16:00,,67.0,61.0,OV,240.0,16.0,,,,,,,,,,5,7,N ,0.0,0.0,R ,,24.0,,,,,,,,,,,KBOS,,,,,,,,,,5.0,10.0,N,7.0,0.0,N,10.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T16:00:00.000Z
16,16,LAV,2020-09-30 00:00,2020-09-30 17:00,,69.0,58.0,BK,250.0,17.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,25.0,,,,,,,,,,,KBOS,,,,,,,,,,6.0,2.0,N,7.0,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T17:00:00.000Z
17,17,LAV,2020-09-30 00:00,2020-09-30 18:00,,71.0,55.0,BK,260.0,18.0,50.0,,,,,,,,,6,7,N ,0.0,0.0,R ,,26.0,,,,,,,,,,,KBOS,,,,,,,,,,6.0,0.0,N,7.0,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-30T00:00:00.000Z,2020-09-30T18:00:00.000Z
