,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-03-06 06:00,2022-03-06 07:00,,38.0,29.0,OV,160.0,8.0,,,,,,,,,,6,7,N ,7.0,18.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,1.0,N,7,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-03-06T06:00:00.000Z,2022-03-06T07:00:00.000Z
1,1,LAV,2022-03-06 06:00,2022-03-06 08:00,,38.0,30.0,OV,160.0,8.0,,,,,,,,,,6,7,N ,6.0,12.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,1.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,4,N,,,2022-03-06T06:00:00.000Z,2022-03-06T08:00:00.000Z
2,2,LAV,2022-03-06 06:00,2022-03-06 09:00,,39.0,31.0,OV,150.0,9.0,,,,,,,,,,5,7,N ,6.0,5.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4,2.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,4,N,,,2022-03-06T06:00:00.000Z,2022-03-06T09:00:00.000Z
3,3,LAV,2022-03-06 06:00,2022-03-06 10:00,,39.0,33.0,OV,160.0,8.0,,,,,,,,,,4,7,N ,4.0,3.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4,3.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,5,N,,,2022-03-06T06:00:00.000Z,2022-03-06T10:00:00.000Z
4,4,LAV,2022-03-06 06:00,2022-03-06 11:00,,40.0,34.0,OV,160.0,9.0,,,,,,,,,,3,7,N ,3.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,3.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-03-06T06:00:00.000Z,2022-03-06T11:00:00.000Z
5,5,LAV,2022-03-06 06:00,2022-03-06 12:00,,41.0,36.0,OV,160.0,8.0,6.0,,,,,,,,,2,5,N ,2.0,1.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,3.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-03-06T06:00:00.000Z,2022-03-06T12:00:00.000Z
6,6,LAV,2022-03-06 06:00,2022-03-06 13:00,,44.0,37.0,OV,190.0,10.0,,,,,,,,,,3,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,4.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,4,N,,,2022-03-06T06:00:00.000Z,2022-03-06T13:00:00.000Z
7,7,LAV,2022-03-06 06:00,2022-03-06 14:00,,46.0,39.0,OV,220.0,10.0,,,,,,,,,,2,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,4.0,N,5,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,6,N,,,2022-03-06T06:00:00.000Z,2022-03-06T14:00:00.000Z
8,8,LAV,2022-03-06 06:00,2022-03-06 15:00,,48.0,41.0,OV,230.0,10.0,,,,,,,,,,3,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,4.0,N,5,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,10,N,,,2022-03-06T06:00:00.000Z,2022-03-06T15:00:00.000Z
9,9,LAV,2022-03-06 06:00,2022-03-06 16:00,,51.0,42.0,OV,240.0,12.0,,,,,,,,,,3,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,8.0,N,7,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,36,Y,,,2022-03-06T06:00:00.000Z,2022-03-06T16:00:00.000Z
