,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-06-08 06:00,2022-06-08 07:00,,63.0,61.0,OV,180.0,12.0,,,,,,,,,,7,6,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,87.0,Y,7,1.0,N,48.0,M,,,,,,,,,,,,,,,,,,70,Y,,,2022-06-08T06:00:00.000Z,2022-06-08T07:00:00.000Z
1,1,LAV,2022-06-08 06:00,2022-06-08 08:00,,64.0,61.0,OV,180.0,12.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,66.0,Y,6,0.0,N,24.0,M,,,,,,,,,,,,,,,,,,38,Y,,,2022-06-08T06:00:00.000Z,2022-06-08T08:00:00.000Z
2,2,LAV,2022-06-08 06:00,2022-06-08 09:00,,64.0,62.0,OV,180.0,13.0,,,,,,,,,,5,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,88.0,Y,5,1.0,N,24.0,M,,,,,,,,,,,,,,,,,,45,Y,,,2022-06-08T06:00:00.000Z,2022-06-08T09:00:00.000Z
3,3,LAV,2022-06-08 06:00,2022-06-08 10:00,,65.0,62.0,OV,180.0,13.0,,,,,,,,,,4,6,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,65.0,Y,6,2.0,N,35.0,M,,,,,,,,,,,,,,,,,,58,Y,,,2022-06-08T06:00:00.000Z,2022-06-08T10:00:00.000Z
4,4,LAV,2022-06-08 06:00,2022-06-08 11:00,,66.0,63.0,OV,180.0,13.0,,,,,,,,,,3,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,58.0,Y,4,9.0,N,53.0,H,,,,,,,,,,,,,,,,,,74,Y,,,2022-06-08T06:00:00.000Z,2022-06-08T11:00:00.000Z
5,5,LAV,2022-06-08 06:00,2022-06-08 12:00,,67.0,63.0,OV,190.0,13.0,97.0,,,,,,,,,3,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,51.0,Y,5,3.0,N,34.0,M,,,,,,,,,,,,,,,,,,56,Y,,,2022-06-08T06:00:00.000Z,2022-06-08T12:00:00.000Z
6,6,LAV,2022-06-08 06:00,2022-06-08 13:00,,68.0,63.0,OV,210.0,13.0,,,,,,,,,,3,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,55.0,Y,5,3.0,N,32.0,M,,,,,,,,,,,,,,,,,,49,Y,,,2022-06-08T06:00:00.000Z,2022-06-08T13:00:00.000Z
7,7,LAV,2022-06-08 06:00,2022-06-08 14:00,,69.0,63.0,OV,220.0,11.0,,,,,,,,,,3,4,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,48.0,Y,4,4.0,N,22.0,M,,,,,,,,,,,,,,,,,,29,Y,,,2022-06-08T06:00:00.000Z,2022-06-08T14:00:00.000Z
8,8,LAV,2022-06-08 06:00,2022-06-08 15:00,,70.0,63.0,OV,240.0,11.0,,,,,,,,,,3,5,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,23.0,N,7,3.0,N,19.0,L,,,,,,,,,,,,,,,,,,22,N,,,2022-06-08T06:00:00.000Z,2022-06-08T15:00:00.000Z
9,9,LAV,2022-06-08 06:00,2022-06-08 16:00,,72.0,62.0,OV,240.0,10.0,,,,,,,,,,3,7,N ,,,,,17.0,,,,,,,,,,,KBOS,,,,,,,,,,4,15.0,N,6,2.0,N,14.0,L,,,,,,,,,,,,,,,,,,11,N,,,2022-06-08T06:00:00.000Z,2022-06-08T16:00:00.000Z
10,10,LAV,2022-06-08 06:00,2022-06-08 17:00,,74.0,62.0,OV,250.0,10.0,,,,,,,,,,5,7,N ,,,,,17.0,,,,,,,,,,,KBOS,,,,,,,,,,5,9.0,N,7,2.0,N,10.0,N,,,,,,,,,,,,,,,,,,8,N,,,2022-06-08T06:00:00.000Z,2022-06-08T17:00:00.000Z
11,11,LAV,2022-06-08 06:00,2022-06-08 18:00,,75.0,61.0,OV,250.0,11.0,78.0,,,,,,,,,6,7,N ,,,,,17.0,,,,,,,,,,,KBOS,,,,,,,,,,6,2.0,N,7,4.0,N,10.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-06-08T06:00:00.000Z,2022-06-08T18:00:00.000Z
12,12,LAV,2022-06-08 06:00,2022-06-08 19:00,,75.0,60.0,BK,250.0,11.0,,,,,,,,,,6,7,N ,,,,,17.0,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,1.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-08T06:00:00.000Z,2022-06-08T19:00:00.000Z
