,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-05-13 12:00,2022-05-13 13:00,,59.0,58.0,OV,100.0,4.0,,,,,,,,,,2,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-13T13:00:00.000Z
1,1,LAV,2022-05-13 12:00,2022-05-13 14:00,,61.0,58.0,OV,130.0,5.0,,,,,,,,,,2,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-13T14:00:00.000Z
2,2,LAV,2022-05-13 12:00,2022-05-13 15:00,,63.0,59.0,OV,140.0,6.0,,,,,,,,,,2,3,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-13T15:00:00.000Z
3,3,LAV,2022-05-13 12:00,2022-05-13 16:00,,65.0,59.0,OV,130.0,8.0,,,,,,,,,,2,3,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-13T16:00:00.000Z
4,4,LAV,2022-05-13 12:00,2022-05-13 17:00,,67.0,59.0,BK,130.0,9.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-13T17:00:00.000Z
5,5,LAV,2022-05-13 12:00,2022-05-13 18:00,,68.0,59.0,SC,120.0,10.0,0.0,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-13T18:00:00.000Z
6,6,LAV,2022-05-13 12:00,2022-05-13 19:00,,69.0,59.0,SC,130.0,10.0,,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,10.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-13T19:00:00.000Z
7,7,LAV,2022-05-13 12:00,2022-05-13 20:00,,71.0,59.0,SC,140.0,11.0,,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,10.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-13T20:00:00.000Z
8,8,LAV,2022-05-13 12:00,2022-05-13 21:00,,71.0,59.0,SC,150.0,11.0,,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,8.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-13T21:00:00.000Z
9,9,LAV,2022-05-13 12:00,2022-05-13 22:00,,70.0,59.0,SC,170.0,11.0,,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,8.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-13T22:00:00.000Z
10,10,LAV,2022-05-13 12:00,2022-05-13 23:00,,69.0,59.0,SC,190.0,9.0,,,,,,,,,,8,7,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-13T23:00:00.000Z
11,11,LAV,2022-05-13 12:00,2022-05-14 00:00,,69.0,59.0,SC,190.0,9.0,2.0,,,,,,,,,2,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-14T00:00:00.000Z
12,12,LAV,2022-05-13 12:00,2022-05-14 01:00,,68.0,60.0,SC,200.0,7.0,,,,,,,,,,2,3,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-14T01:00:00.000Z
13,13,LAV,2022-05-13 12:00,2022-05-14 02:00,,67.0,61.0,FW,200.0,7.0,,,,,,,,,,2,3,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-14T02:00:00.000Z
14,14,LAV,2022-05-13 12:00,2022-05-14 03:00,,66.0,61.0,BK,210.0,7.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-14T03:00:00.000Z
15,15,LAV,2022-05-13 12:00,2022-05-14 04:00,,65.0,61.0,BK,220.0,6.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-14T04:00:00.000Z
16,16,LAV,2022-05-13 12:00,2022-05-14 05:00,,64.0,61.0,BK,220.0,6.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-14T05:00:00.000Z
17,17,LAV,2022-05-13 12:00,2022-05-14 06:00,,64.0,61.0,BK,230.0,6.0,1.0,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-14T06:00:00.000Z
18,18,LAV,2022-05-13 12:00,2022-05-14 07:00,,64.0,61.0,OV,230.0,6.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-14T07:00:00.000Z
19,19,LAV,2022-05-13 12:00,2022-05-14 08:00,,64.0,60.0,OV,240.0,6.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-14T08:00:00.000Z
20,20,LAV,2022-05-13 12:00,2022-05-14 09:00,,63.0,59.0,OV,240.0,6.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-13T12:00:00.000Z,2022-05-14T09:00:00.000Z
21,21,LAV,2022-05-13 12:00,2022-05-14 10:00,,63.0,59.0,OV,240.0,6.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-13T12:00:00.000Z,2022-05-14T10:00:00.000Z
22,22,LAV,2022-05-13 12:00,2022-05-14 11:00,,64.0,59.0,OV,240.0,7.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-05-13T12:00:00.000Z,2022-05-14T11:00:00.000Z
23,23,LAV,2022-05-13 12:00,2022-05-14 12:00,,66.0,59.0,OV,240.0,7.0,6.0,,,,,,,,,2,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,3,N,,,2022-05-13T12:00:00.000Z,2022-05-14T12:00:00.000Z
24,24,LAV,2022-05-13 12:00,2022-05-14 13:00,,69.0,59.0,BK,240.0,7.0,,,,,,,,,,2,7,HZ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,3,N,,,2022-05-13T12:00:00.000Z,2022-05-14T13:00:00.000Z
25,25,LAV,2022-05-13 12:00,2022-05-14 14:00,,,,BK,,,,,,,,,,,,2,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,N,,,2022-05-13T12:00:00.000Z,2022-05-14T14:00:00.000Z
26,26,LAV,2022-05-13 12:00,2022-05-14 15:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,N,,,2022-05-13T12:00:00.000Z,2022-05-14T15:00:00.000Z
27,27,LAV,2022-05-13 12:00,2022-05-14 16:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,2,N,,,2022-05-13T12:00:00.000Z,2022-05-14T16:00:00.000Z
28,28,LAV,2022-05-13 12:00,2022-05-14 17:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,6,,,,,,,,,,,,,,,,,,,,,,2,N,,,2022-05-13T12:00:00.000Z,2022-05-14T17:00:00.000Z
29,29,LAV,2022-05-13 12:00,2022-05-14 18:00,,,,BK,,,5.0,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2022-05-13T12:00:00.000Z,2022-05-14T18:00:00.000Z
30,30,LAV,2022-05-13 12:00,2022-05-14 19:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2022-05-13T12:00:00.000Z,2022-05-14T19:00:00.000Z
31,31,LAV,2022-05-13 12:00,2022-05-14 20:00,,,,BK,,,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,3,N,,,2022-05-13T12:00:00.000Z,2022-05-14T20:00:00.000Z
32,32,LAV,2022-05-13 12:00,2022-05-14 21:00,,,,OV,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,3,N,,,2022-05-13T12:00:00.000Z,2022-05-14T21:00:00.000Z
33,33,LAV,2022-05-13 12:00,2022-05-14 22:00,,,,OV,,,,,,,,,,,,2,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,4,N,,,2022-05-13T12:00:00.000Z,2022-05-14T22:00:00.000Z
34,34,LAV,2022-05-13 12:00,2022-05-14 23:00,,,,OV,,,,,,,,,,,,2,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,5,N,,,2022-05-13T12:00:00.000Z,2022-05-14T23:00:00.000Z
35,35,LAV,2022-05-13 12:00,2022-05-15 00:00,,,,OV,,,13.0,,,,,,,,,2,5,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,6,N,,,2022-05-13T12:00:00.000Z,2022-05-15T00:00:00.000Z
36,36,LAV,2022-05-13 12:00,2022-05-15 01:00,,,,OV,,,,,,,,,,,,2,6,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,7,N,,,2022-05-13T12:00:00.000Z,2022-05-15T01:00:00.000Z
37,37,LAV,2022-05-13 12:00,2022-05-15 02:00,,,,OV,,,,,,,,,,,,2,3,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,8,N,,,2022-05-13T12:00:00.000Z,2022-05-15T02:00:00.000Z
