,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-11-22 00:00,2021-11-22 01:00,,51.0,45.0,OV,180.0,9.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,5.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-11-22T00:00:00.000Z,2021-11-22T01:00:00.000Z
1,1,LAV,2021-11-22 00:00,2021-11-22 02:00,,51.0,46.0,OV,190.0,9.0,,,,,,,,,,6,7,N ,0.0,1.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,11.0,N,7,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,18,N,,,2021-11-22T00:00:00.000Z,2021-11-22T02:00:00.000Z
2,2,LAV,2021-11-22 00:00,2021-11-22 03:00,,51.0,46.0,OV,190.0,9.0,,,,,,,,,,6,7,N ,0.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,29.0,N,7,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,34,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T03:00:00.000Z
3,3,LAV,2021-11-22 00:00,2021-11-22 04:00,,51.0,47.0,OV,190.0,9.0,,,,,,,,,,6,7,N ,0.0,1.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,33.0,N,6,0.0,N,14.0,L,,,,,,,,,,,,,,,,,,73,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T04:00:00.000Z
4,4,LAV,2021-11-22 00:00,2021-11-22 05:00,,51.0,47.0,OV,190.0,11.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,36.0,N,7,1.0,N,19.0,L,,,,,,,,,,,,,,,,,,78,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T05:00:00.000Z
5,5,LAV,2021-11-22 00:00,2021-11-22 06:00,,51.0,47.0,OV,200.0,11.0,97.0,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,39.0,N,7,0.0,N,16.0,L,,,,,,,,,,,,,,,,,,74,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T06:00:00.000Z
6,6,LAV,2021-11-22 00:00,2021-11-22 07:00,,51.0,48.0,OV,200.0,12.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,37.0,N,7,0.0,N,7.0,N,,,,,,,,,,,,,,,,,,31,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T07:00:00.000Z
7,7,LAV,2021-11-22 00:00,2021-11-22 08:00,,51.0,48.0,OV,200.0,11.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,34.0,N,7,0.0,N,7.0,N,,,,,,,,,,,,,,,,,,16,N,,,2021-11-22T00:00:00.000Z,2021-11-22T08:00:00.000Z
8,8,LAV,2021-11-22 00:00,2021-11-22 09:00,,51.0,48.0,OV,190.0,11.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,29.0,N,7,0.0,N,8.0,N,,,,,,,,,,,,,,,,,,14,N,,,2021-11-22T00:00:00.000Z,2021-11-22T09:00:00.000Z
9,9,LAV,2021-11-22 00:00,2021-11-22 10:00,,51.0,48.0,OV,200.0,10.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,31.0,N,7,0.0,N,8.0,N,,,,,,,,,,,,,,,,,,32,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T10:00:00.000Z
10,10,LAV,2021-11-22 00:00,2021-11-22 11:00,,50.0,47.0,OV,210.0,9.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,36.0,N,7,0.0,N,7.0,N,,,,,,,,,,,,,,,,,,40,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T11:00:00.000Z
11,11,LAV,2021-11-22 00:00,2021-11-22 12:00,,50.0,46.0,OV,220.0,9.0,78.0,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,44.0,Y,7,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,53,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T12:00:00.000Z
12,12,LAV,2021-11-22 00:00,2021-11-22 13:00,,50.0,46.0,OV,230.0,9.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,52.0,Y,7,0.0,N,9.0,N,,,,,,,,,,,,,,,,,,65,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T13:00:00.000Z
13,13,LAV,2021-11-22 00:00,2021-11-22 14:00,,50.0,45.0,OV,240.0,9.0,,,,,,,,,,5,5,N ,0.0,1.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,6,56.0,Y,5,0.0,N,17.0,L,,,,,,,,,,,,,,,,,,89,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T14:00:00.000Z
14,14,LAV,2021-11-22 00:00,2021-11-22 15:00,,51.0,44.0,OV,250.0,8.0,,,,,,,,,,5,7,N ,0.0,3.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,56.0,Y,5,0.0,N,7.0,N,,,,,,,,,,,,,,,,,,64,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T15:00:00.000Z
15,15,LAV,2021-11-22 00:00,2021-11-22 16:00,,51.0,43.0,OV,250.0,9.0,,,,,,,,,,5,7,N ,0.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,47.0,Y,7,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,44,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T16:00:00.000Z
16,16,LAV,2021-11-22 00:00,2021-11-22 17:00,,50.0,41.0,OV,260.0,10.0,,,,,,,,,,5,7,N ,0.0,2.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,39.0,Y,7,0.0,N,5.0,N,,,,,,,,,,,,,,,,,,33,Y,,,2021-11-22T00:00:00.000Z,2021-11-22T17:00:00.000Z
