station,valid,metar
BOS,8/23/2020 18:54,KBOS 231854Z 09010KT 10SM FEW050 SCT070 SCT220 26/19 A2998 RMK AO2 SLP153 T02610194
BOS,8/23/2020 19:54,KBOS 231954Z 19016KT 10SM BKN050 BKN070 BKN220 31/19 A2995 RMK AO2 WSHFT 1938 LTG DSNT N AND NW SLP142 T03110189
BOS,8/23/2020 20:40,KBOS 232040Z 19014KT 10SM VCTS SCT055 SCT220 30/18 A2996 RMK AO2 LTG DSNT W-NE TSE20 T03000183
BOS,8/23/2020 20:51,KBOS 232051Z 10SM TS SCT075CB SCT220 SCT250 28/17 A3002 RMK AO2 LTG DSNT W-NE TSE20B51 PRESRR FRQ LTGIC TS N MOV E
BOS,8/23/2020 20:54,KBOS 232054Z 36019G27KT 10SM TS SCT075CB SCT220 SCT250 25/16 A3004 RMK AO2 PK WND 34027/2054 LTG DSNT W-NE TSE20B51 PRESRR SLP170 FRQ LTGIC N TS N MOV E T02500161 53005
BOS,8/23/2020 20:58,KBOS 232058Z 33026G37KT 1 1/4SM R04R/3500VP6000FT -TSRA FEW019 SCT049CB BKN060 23/17 A3007 RMK AO2 PK WND 33037/2057 LTG DSNT W-NE RAB57 PRESRR P0000 T02330167
BOS,8/23/2020 21:02,KBOS 232102Z 35015G37KT 3/4SM R04R/2000VP6000FT +TSRA FEW019 SCT049CB BKN060 21/17 A3007 RMK AO2 PK WND 33037/2057 LTG DSNT W-NE RAB2057 FQT LTG IC OHD TS OHD MOV E P0005 T02060172
BOS,8/23/2020 21:11,KBOS 232111Z 05007G25KT 330V090 3/4SM R04R/1800V3500FT +TSGRRA BR FEW019 SCT049CB BKN060 19/17 A3006 RMK AO2 PK WND 33037/2057 LTG DSNT NE AND W RAB2057GRB10 CONS LTGICCCCA OHD TS OHD MOV E GR LESS THAN 1/4 P0052 T01940172
BOS,8/23/2020 21:13,KBOS 232113Z 11009G23KT 080V150 3/4SM R04R/1800V4000FT +TSGRRA BR BKN012 BKN050CB OVC060 19/17 A3005 RMK AO2 PK WND 33037/2057 LTG DSNT NE AND W RAB2057GRB10 CONS LTGICCCCA OHD TS OHD MOV E GR LESS THAN 1/4 P0061 T01940172
BOS,8/23/2020 21:17,KBOS 232117Z 08006G16KT 3/4SM R04R/2200V6000FT +TSRA BKN016 OVC050CB 20/16 A3003 RMK AO2 PK WND 33037/2057 LTG DSNT NE AND W RAB2057GRB10E16 CONS LTGICCCCA OHD TS OHD MOV E P0092 T02000161
BOS,8/23/2020 21:21,KBOS 232121Z 12007G16KT 1 1/4SM R04R/2600VP6000FT +TSRA BKN016 OVC050CB 21/16 A3002 RMK AO2 PK WND 33037/2057 LTG DSNT NE AND W RAB2057GRB10E16 CONS LTGICCCCA OHD TS OHD MOV E P0103 T02110161
BOS,8/23/2020 21:25,KBOS 232125Z 11011KT 2SM R04R/4500VP6000FT +TSRA BKN016 OVC050CB 21/16 A3000 RMK AO2 PK WND 33037/2057 LTG DSNT NE AND SW AND W RAB2057GRB10E16 CONS LTGCGICCCCA OHD TS OHD MOV E P0110 T02060161
BOS,8/23/2020 21:34,KBOS 232134Z 11010KT 4SM R04R/6000VP6000FT TSRA BKN030 BKN065CB OVC080 20/17 A3001 RMK AO2 PK WND 33037/2057 VIS 2 E LTG DSNT ALQDS RAB2057GRB10E16 FRQ LTGICCCCA E TS E MOV E P0123 T02000167
BOS,8/23/2020 21:54,KBOS 232154Z 19008KT 9SM -TSRA SCT041CB BKN100 OVC120 21/18 A3003 RMK AO2 PK WND 33037/2057 LTG DSNT ALQDS RAB2057GRB10E16 SLP169 FRQ LTGCGICCCCA ALQDS TS W MOV E P0123 T02060178
BOS,8/23/2020 22:54,KBOS 232254Z 19007KT 9SM -TSRA SCT024CB BKN110 OVC140 20/18 A3004 RMK AO2 LTG DSNT ALQDS SLP173 FRQ LTGICCCCA SE-W TS S MOV E P0002 T02000183
